1,1,27/03/2022,Delhi Capitals,Brabourne Stadium,22,22,22.00,,0,,1,1,,,,19 years 139 days
2,2,02/04/2022,Rajasthan Royals,Dr DY Patil Sports Academy,61,83,41.50,,0,,2,3,,,,19 years 145 days
3,3,06/04/2022,Kolkata Knight Riders,Maharashtra Cricket Association Stadium,38*,121,60.50,0/6,0,,1,4,,,,19 years 149 days
4,4,09/04/2022,Royal Challengers Bengaluru,Maharashtra Cricket Association Stadium,0,121,40.33,,0,,,4,,,,19 years 152 days
5,5,13/04/2022,Punjab Kings,Maharashtra Cricket Association Stadium,36,157,39.25,,0,,,4,,,,19 years 156 days
6,6,16/04/2022,Lucknow Super Giants,Brabourne Stadium,26,183,36.60,0/7,0,,,4,,,,19 years 159 days
7,7,21/04/2022,Chennai Super Kings,Dr DY Patil Sports Academy,51*,234,46.80,,0,,2,6,,,,19 years 164 days
8,8,24/04/2022,Lucknow Super Giants,Wankhede Stadium,38,272,45.33,,0,,1,7,,,,19 years 167 days
9,9,30/04/2022,Rajasthan Royals,Dr DY Patil Sports Academy,35,307,43.86,,0,,,7,,,,19 years 173 days
10,10,06/05/2022,Gujarat Titans,Brabourne Stadium,21,328,41.00,,0,,,7,,,,19 years 179 days
11,11,09/05/2022,Kolkata Knight Riders,Dr DY Patil Sports Academy,6,334,37.11,,0,,1,8,,,,19 years 182 days
12,12,12/05/2022,Chennai Super Kings,Wankhede Stadium,34*,368,40.89,,0,,1,9,,,,19 years 185 days
13,13,17/05/2022,Sunrisers Hyderabad,Wankhede Stadium,8,376,37.60,,0,,1,10,,,,19 years 190 days
14,14,21/05/2022,Delhi Capitals,Wankhede Stadium,21,397,36.09,,0,,,10,,,,19 years 194 days
15,15,02/04/2023,Royal Challengers Bengaluru,M Chinnaswamy Stadium,84*,481,43.73,,0,,1,11,,,,20 years 145 days
16,16,08/04/2023,Chennai Super Kings,Wankhede Stadium,22,503,41.92,,0,,,11,,,,20 years 151 days
17,17,11/04/2023,Delhi Capitals,Arun Jaitley Stadium,41,544,41.85,0/7,0,,,11,,,,20 years 154 days
18,18,16/04/2023,Kolkata Knight Riders,Wankhede Stadium,30,574,41.00,,0,,1,12,,,,20 years 159 days
19,19,18/04/2023,Sunrisers Hyderabad,Rajiv Gandhi International Stadium,37,611,40.73,,0,,,12,,,,20 years 161 days
20,20,22/04/2023,Punjab Kings,Wankhede Stadium,3,614,38.38,,0,,,12,,,,20 years 165 days
21,21,25/04/2023,Gujarat Titans,Narendra Modi Stadium,2,616,36.24,,0,,,12,,,,20 years 168 days
22,22,30/04/2023,Rajasthan Royals,Wankhede Stadium,29*,645,37.94,,0,,2,14,,,,20 years 173 days
23,23,03/05/2023,Punjab Kings,Punjab Cricket Association IS Bindra Stadium,26*,671,39.47,,0,,,14,,,,20 years 176 days
24,24,24/05/2023,Lucknow Super Giants,MA Chidambaram Stadium,26,697,38.72,,0,,,14,,,,20 years 197 days
25,25,26/05/2023,Gujarat Titans,Narendra Modi Stadium,43,740,38.95,,0,,,14,,,,20 years 199 days
26,26,24/03/2024,Gujarat Titans,Narendra Modi Stadium,25,765,38.25,,0,,2,16,,,,21 years 137 days
27,27,27/03/2024,Sunrisers Hyderabad,Rajiv Gandhi International Stadium,64,829,39.48,,0,,,16,,,,21 years 140 days
28,28,01/04/2024,Rajasthan Royals,Wankhede Stadium,32,861,39.14,,0,,1,17,,,,21 years 145 days
29,29,07/04/2024,Delhi Capitals,Wankhede Stadium,6,867,37.70,,0,,1,18,,,,21 years 151 days
30,30,11/04/2024,Royal Challengers Bengaluru,Wankhede Stadium,16*,883,38.39,,0,,,18,,,,21 years 155 days
31,31,14/04/2024,Chennai Super Kings,Wankhede Stadium,31,914,38.08,,0,,,18,,,,21 years 158 days
32,32,18/04/2024,Punjab Kings,Maharaja Yadavindra Singh International Cricket St,34*,948,39.50,,0,,1,19,,,,21 years 162 days
33,33,22/04/2024,Rajasthan Royals,Sawai Mansingh Stadium,65,1013,40.52,0/8,0,,,19,,,,21 years 166 days
34,34,27/04/2024,Delhi Capitals,Arun Jaitley Stadium,63,1076,41.38,,0,,1,20,,,,21 years 171 days
35,35,30/04/2024,Lucknow Super Giants,BRSABV Ekana Cricket Stadium,7,1083,40.11,,0,,1,21,,,,21 years 174 days
36,36,03/05/2024,Kolkata Knight Riders,Wankhede Stadium,4,1087,38.82,,0,,1,22,,,,21 years 177 days
37,37,06/05/2024,Sunrisers Hyderabad,Wankhede Stadium,37*,1124,40.14,,0,,1,23,,,,21 years 180 days
38,38,11/05/2024,Kolkata Knight Riders,Eden Gardens,32,1156,39.86,,0,,,23,,,,21 years 185 days
39,39,23/03/2025,Chennai Super Kings,MA Chidambaram Stadium,31,1187,39.57,,0,,1,24,,,,22 years 135 days
40,40,29/03/2025,Gujarat Titans,Narendra Modi Stadium,39,1226,39.55,,0,,1,25,,,,22 years 141 days
41,,31/03/2025,Kolkata Knight Riders,Wankhede Stadium,-,1226,39.55,,0,,1,26,,,,22 years 143 days
42,41,04/04/2025,Lucknow Super Giants,BRSABV Ekana Cricket Stadium,25,1251,39.09,,0,,,26,,,,22 years 147 days
43,42,07/04/2025,Royal Challengers Bengaluru,Wankhede Stadium,56,1307,39.61,,0,,,26,,,,22 years 150 days
44,43,13/04/2025,Delhi Capitals,Arun Jaitley Stadium,59,1366,40.18,,0,,,26,,,,22 years 156 days
45,44,17/04/2025,Sunrisers Hyderabad,Wankhede Stadium,21*,1387,40.79,,0,,1,27,,,,22 years 160 days
46,,20/04/2025,Chennai Super Kings,Wankhede Stadium,-,1387,40.79,,0,,1,28,,,,22 years 163 days
47,45,23/04/2025,Sunrisers Hyderabad,Rajiv Gandhi International Stadium,2*,1389,40.85,,0,,1,29,,,,22 years 166 days
48,46,27/04/2025,Lucknow Super Giants,Wankhede Stadium,6,1395,39.86,,0,,1,30,,,,22 years 170 days
49,,01/05/2025,Rajasthan Royals,Sawai Mansingh Stadium,-,1395,39.86,,0,,1,31,,,,22 years 174 days
50,47,06/05/2025,Gujarat Titans,Wankhede Stadium,7,1402,38.94,,0,,,31,,,,22 years 179 days
51,48,21/05/2025,Delhi Capitals,Wankhede Stadium,27,1429,38.62,,0,,,31,,,,22 years 194 days
52,49,26/05/2025,Punjab Kings,Sawai Mansingh Stadium,1,1430,37.63,,0,,,31,,,,22 years 199 days
53,50,30/05/2025,Gujarat Titans,Maharaja Yadavindra Singh International Cricket St,25,1455,37.31,,0,,1,32,,,,22 years 203 days
