1,1,25/09/2021,Sunrisers Hyderabad,Sharjah Cricket Stadium,12,12,12.00,0/32,0,,,0,,,,27 years 3 days
2,2,28/09/2021,Mumbai Indians,Sheikh Zayed Stadium,6*,18,18.00,1/12,1,44.00,,0,,,,27 years 6 days
3,,01/10/2021,Kolkata Knight Riders,Dubai International Cricket Stadium,-,18,18.00,0/46,1,90.00,,0,,,,27 years 9 days
4,3,20/04/2022,Delhi Capitals,Brabourne Stadium,0,18,9.00,0/15,1,105.00,1,1,,,,27 years 210 days
5,,22/05/2022,Sunrisers Hyderabad,Wankhede Stadium,-,18,9.00,3/40,4,36.25,,1,,,,27 years 242 days
6,,01/04/2023,Kolkata Knight Riders,Punjab Cricket Association IS Bindra Stadium,-,18,9.00,1/27,5,34.40,,1,,,,28 years 191 days
7,,05/04/2023,Rajasthan Royals,Barsapara Cricket Stadium,-,18,9.00,4/30,9,22.44,1,2,,,,28 years 195 days
8,4,09/04/2023,Sunrisers Hyderabad,Rajiv Gandhi International Stadium,0,18,6.00,0/28,9,25.56,,2,,,,28 years 199 days
9,5,20/04/2023,Royal Challengers Bengaluru,Punjab Cricket Association IS Bindra Stadium,1,19,4.75,1/41,10,27.10,,2,,,,28 years 210 days
10,,22/04/2023,Mumbai Indians,Wankhede Stadium,-,19,4.75,1/44,11,28.64,,2,,,,28 years 212 days
11,,03/05/2023,Mumbai Indians,Punjab Cricket Association IS Bindra Stadium,-,19,4.75,2/34,13,26.85,,2,,,,28 years 223 days
12,,08/05/2023,Kolkata Knight Riders,Eden Gardens,-,19,4.75,1/29,14,27.00,,2,,,,28 years 228 days
13,,13/05/2023,Delhi Capitals,Arun Jaitley Stadium,-,19,4.75,2/26,16,25.25,,2,,,,28 years 233 days
14,,17/05/2023,Delhi Capitals,Himachal Pradesh Cricket Association Stadium,-,19,4.75,0/46,16,28.13,,2,,,,28 years 237 days
15,,19/05/2023,Rajasthan Royals,Himachal Pradesh Cricket Association Stadium,-,19,4.75,1/34,17,28.47,,2,,,,28 years 239 days
16,,15/05/2024,Rajasthan Royals,Barsapara Cricket Stadium,-,19,4.75,1/24,18,28.22,,2,,,,29 years 236 days
17,,23/03/2025,Mumbai Indians,MA Chidambaram Stadium,-,19,4.75,1/38,19,28.74,,2,,,,30 years 182 days
