1,1,11/05/2016,Royal Challengers Bengaluru,M Chinnaswamy Stadium,9,9,9.00,,0,,,0,,,,22 years 136 days
2,2,13/05/2016,Punjab Kings,Dr YS Rajasekhara Reddy Cricket Stadium,25,34,17.00,,0,,,0,,,,22 years 138 days
3,,15/05/2016,Delhi Capitals,Dr YS Rajasekhara Reddy Cricket Stadium,-,34,17.00,0/3,0,,,0,,,,22 years 140 days
4,3,21/05/2016,Gujarat Lions,Green Park,70,104,34.67,,0,,,0,,,,22 years 146 days
5,4,06/04/2017,Rising Pune Supergiant,Maharashtra Cricket Association Stadium,34,138,34.50,,0,,1,1,,,,23 years 100 days
6,5,09/04/2017,Kolkata Knight Riders,Wankhede Stadium,50,188,37.60,,0,,,1,,,,23 years 103 days
7,6,12/04/2017,Sunrisers Hyderabad,Wankhede Stadium,45,233,38.83,,0,,1,2,,,,23 years 106 days
8,7,14/04/2017,Royal Challengers Bengaluru,M Chinnaswamy Stadium,11,244,34.86,,0,,,2,,,,23 years 108 days
9,8,16/04/2017,Gujarat Lions,Wankhede Stadium,53,297,37.13,,0,,1,3,,,,23 years 110 days
10,9,20/04/2017,Punjab Kings,Holkar Cricket Stadium,62*,359,44.88,,0,,,3,,,,23 years 114 days
11,10,22/04/2017,Delhi Capitals,Wankhede Stadium,8,367,40.78,,0,,,3,,,,23 years 116 days
12,11,24/04/2017,Rising Pune Supergiant,Wankhede Stadium,3,370,37.00,,0,,,3,,,,23 years 118 days
13,12,29/04/2017,Gujarat Lions,Saurashtra Cricket Association Stadium,19,389,35.36,,0,,,3,,,,23 years 123 days
14,13,01/05/2017,Royal Challengers Bengaluru,Wankhede Stadium,27,416,34.67,,0,,,3,,,,23 years 125 days
15,,06/05/2017,Delhi Capitals,Barabati Stadium,-,416,34.67,,0,,1,4,,,,23 years 130 days
16,14,08/05/2017,Sunrisers Hyderabad,Rajiv Gandhi International Stadium,9,425,32.69,,0,,,4,,,,23 years 132 days
17,15,11/05/2017,Punjab Kings,Wankhede Stadium,12,437,31.21,,0,,,4,,,,23 years 135 days
18,16,08/04/2018,Royal Challengers Bengaluru,Eden Gardens,34,471,31.40,2/11,2,7.00,,4,,,,24 years 102 days
19,17,10/04/2018,Chennai Super Kings,MA Chidambaram Stadium,16,487,30.44,,2,7.00,,4,,,,24 years 104 days
20,18,14/04/2018,Sunrisers Hyderabad,Eden Gardens,18,505,29.71,,2,7.00,,4,,,,24 years 108 days
21,19,16/04/2018,Delhi Capitals,Eden Gardens,59,564,31.33,,2,7.00,1,5,,,,24 years 110 days
22,20,18/04/2018,Rajasthan Royals,Sawai Mansingh Stadium,35*,599,33.28,2/11,4,6.25,1,6,,,,24 years 112 days
23,21,21/04/2018,Punjab Kings,Eden Gardens,3,602,31.68,0/0,4,6.25,,6,,,,24 years 115 days
24,22,27/04/2018,Delhi Capitals,Arun Jaitley Stadium,8,610,30.50,,4,6.25,,6,,,,24 years 121 days
25,23,29/04/2018,Royal Challengers Bengaluru,M Chinnaswamy Stadium,15*,625,31.25,,4,6.25,,6,,,,24 years 123 days
26,24,06/05/2018,Mumbai Indians,Wankhede Stadium,31,656,31.24,0/17,4,10.50,,6,,,,24 years 130 days
27,25,09/05/2018,Mumbai Indians,Eden Gardens,21,677,30.77,,4,10.50,,6,,,,24 years 133 days
28,26,12/05/2018,Punjab Kings,Holkar Cricket Stadium,11,688,29.91,,4,10.50,,6,,,,24 years 136 days
29,27,15/05/2018,Rajasthan Royals,Eden Gardens,21,709,29.54,,4,10.50,,6,,,,24 years 139 days
30,28,19/05/2018,Sunrisers Hyderabad,Rajiv Gandhi International Stadium,7,716,28.64,0/5,4,11.75,,6,,,,24 years 143 days
31,29,23/05/2018,Rajasthan Royals,Eden Gardens,3,719,27.65,,4,11.75,,6,,,,24 years 147 days
32,30,25/05/2018,Sunrisers Hyderabad,Eden Gardens,22,741,27.44,,4,11.75,,6,,,,24 years 149 days
33,31,24/03/2019,Sunrisers Hyderabad,Eden Gardens,68,809,28.89,0/9,4,14.00,,6,,,,25 years 87 days
34,32,27/03/2019,Punjab Kings,Eden Gardens,63,872,30.07,,4,14.00,,6,,,,25 years 90 days
35,33,30/03/2019,Delhi Capitals,Arun Jaitley Stadium,1,873,29.10,0/8,4,16.00,,6,,,,25 years 93 days
36,34,05/04/2019,Royal Challengers Bengaluru,M Chinnaswamy Stadium,37,910,29.35,1/22,5,17.20,,6,,,,25 years 99 days
37,,07/04/2019,Rajasthan Royals,Sawai Mansingh Stadium,-,910,29.35,,5,17.20,,6,,,,25 years 101 days
38,35,09/04/2019,Chennai Super Kings,MA Chidambaram Stadium,0,910,28.44,,5,17.20,1,7,,,,25 years 103 days
39,36,12/04/2019,Delhi Capitals,Eden Gardens,11,921,27.91,1/12,6,16.33,,7,,,,25 years 106 days
40,37,14/04/2019,Chennai Super Kings,Eden Gardens,21,942,27.71,,6,16.33,,7,,,,25 years 108 days
41,38,19/04/2019,Royal Challengers Bengaluru,Eden Gardens,85*,1027,30.21,,6,16.33,1,8,,,,25 years 113 days
42,39,21/04/2019,Sunrisers Hyderabad,Rajiv Gandhi International Stadium,11,1038,29.66,,6,16.33,,8,,,,25 years 115 days
43,40,25/04/2019,Rajasthan Royals,Eden Gardens,21,1059,29.42,0/13,6,18.50,,8,,,,25 years 119 days
44,,28/04/2019,Mumbai Indians,Eden Gardens,-,1059,29.42,,6,18.50,1,9,,,,25 years 122 days
45,,03/05/2019,Punjab Kings,Punjab Cricket Association IS Bindra Stadium,-,1059,29.42,1/8,7,17.00,,9,,,,25 years 127 days
46,41,05/05/2019,Mumbai Indians,Wankhede Stadium,26,1085,29.32,,7,17.00,,9,,,,25 years 129 days
47,42,23/09/2020,Mumbai Indians,Sheikh Zayed Stadium,24,1109,29.18,,7,17.00,,9,,,,26 years 271 days
48,43,26/09/2020,Sunrisers Hyderabad,Sheikh Zayed Stadium,26,1135,29.10,,7,17.00,,9,,,,26 years 274 days
49,44,30/09/2020,Rajasthan Royals,Dubai International Cricket Stadium,22,1157,28.93,,7,17.00,,9,,,,26 years 278 days
50,45,03/10/2020,Delhi Capitals,Sharjah Cricket Stadium,58,1215,29.63,,7,17.00,,9,,,,26 years 281 days
