1,,16/04/2023,Rajasthan Royals,Narendra Modi Stadium,-,0,,1/29,1,29.00,,0,,,,18 years 103 days
2,,22/04/2023,Lucknow Super Giants,BRSABV Ekana Cricket Stadium,-,0,,2/18,3,15.67,,0,,,,18 years 109 days
3,,25/04/2023,Mumbai Indians,Narendra Modi Stadium,-,0,,3/37,6,14.00,1,1,,,,18 years 112 days
4,,29/04/2023,Kolkata Knight Riders,Eden Gardens,-,0,,2/21,8,13.13,,1,,,,18 years 116 days
5,,02/05/2023,Delhi Capitals,Narendra Modi Stadium,-,0,,0/20,8,15.63,,1,,,,18 years 119 days
6,,05/05/2023,Rajasthan Royals,Sawai Mansingh Stadium,-,0,,2/25,10,15.00,,1,,,,18 years 122 days
7,,07/05/2023,Lucknow Super Giants,Narendra Modi Stadium,-,0,,1/26,11,16.00,1,2,,,,18 years 124 days
8,1,12/05/2023,Mumbai Indians,Wankhede Stadium,1,1,1.00,0/38,11,19.45,,2,,,,18 years 129 days
9,2,15/05/2023,Sunrisers Hyderabad,Narendra Modi Stadium,0,1,0.50,0/35,11,22.64,,2,,,,18 years 132 days
10,,21/05/2023,Royal Challengers Bengaluru,M Chinnaswamy Stadium,-,1,0.50,2/39,13,22.15,,2,,,,18 years 138 days
11,3,23/05/2023,Chennai Super Kings,MA Chidambaram Stadium,7*,8,4.00,1/29,14,22.64,,2,,,,18 years 140 days
12,,26/05/2023,Mumbai Indians,Narendra Modi Stadium,-,8,4.00,0/35,14,25.14,,2,,,,18 years 143 days
13,,29/05/2023,Chennai Super Kings,Narendra Modi Stadium,-,8,4.00,2/17,16,23.06,,2,,,,18 years 146 days
14,,31/03/2024,Sunrisers Hyderabad,Narendra Modi Stadium,-,8,4.00,1/32,17,23.59,,2,,,,19 years 88 days
15,,04/04/2024,Punjab Kings,Narendra Modi Stadium,-,8,4.00,2/32,19,22.79,,2,,,,19 years 92 days
16,4,07/04/2024,Lucknow Super Giants,BRSABV Ekana Cricket Stadium,4,12,4.00,0/22,19,23.95,1,3,,,,19 years 95 days
17,5,10/04/2024,Rajasthan Royals,Sawai Mansingh Stadium,0*,12,4.00,0/43,19,26.21,,3,,,,19 years 98 days
18,6,17/04/2024,Delhi Capitals,Narendra Modi Stadium,1,13,3.25,0/14,19,26.95,,3,,,,19 years 105 days
19,,21/04/2024,Punjab Kings,Maharaja Yadavindra Singh International Cricket St,-,13,3.25,2/20,21,25.33,,3,,,,19 years 109 days
20,,24/04/2024,Delhi Capitals,Arun Jaitley Stadium,-,13,3.25,1/36,22,25.82,2,5,,,,19 years 112 days
21,,28/04/2024,Royal Challengers Bengaluru,Narendra Modi Stadium,-,13,3.25,0/43,22,27.77,,5,,,,19 years 116 days
22,7,04/05/2024,Royal Challengers Bengaluru,M Chinnaswamy Stadium,0*,13,3.25,2/23,24,26.42,,5,,,,19 years 122 days
23,,10/05/2024,Chennai Super Kings,Narendra Modi Stadium,-,13,3.25,0/25,24,27.46,2,7,,,,19 years 128 days
24,,23/03/2025,Mumbai Indians,MA Chidambaram Stadium,-,13,3.25,4/18,28,24.18,,7,,,,20 years 79 days
25,8,28/03/2025,Royal Challengers Bengaluru,MA Chidambaram Stadium,0*,13,3.25,3/36,31,23.00,,7,,,,20 years 84 days
26,,30/03/2025,Rajasthan Royals,Barsapara Cricket Stadium,-,13,3.25,2/28,33,22.45,,7,,,,20 years 86 days
27,,05/04/2025,Delhi Capitals,MA Chidambaram Stadium,-,13,3.25,1/36,34,22.85,,7,,,,20 years 92 days
28,,08/04/2025,Punjab Kings,Maharaja Yadavindra Singh International Cricket St,-,13,3.25,1/32,35,23.11,,7,,,,20 years 95 days
29,9,11/04/2025,Kolkata Knight Riders,MA Chidambaram Stadium,1,14,2.80,1/8,36,22.69,,7,,,,20 years 98 days
30,,14/04/2025,Lucknow Super Giants,BRSABV Ekana Cricket Stadium,-,14,2.80,0/13,36,23.06,,7,,,,20 years 101 days
31,,20/04/2025,Mumbai Indians,Wankhede Stadium,-,14,2.80,0/36,36,24.06,,7,,,,20 years 107 days
