1,1,25/03/2025,Gujarat Titans,Narendra Modi Stadium,47,47,47.00,,0,,1,1,,,,23 years 188 days
2,2,01/04/2025,Lucknow Super Giants,BRSABV Ekana Cricket Stadium,8,55,27.50,,0,,1,2,,,,23 years 195 days
3,3,05/04/2025,Rajasthan Royals,Maharaja Yadavindra Singh International Cricket St,0,55,18.33,,0,,,2,,,,23 years 199 days
4,4,08/04/2025,Chennai Super Kings,Maharaja Yadavindra Singh International Cricket St,103,158,39.50,,0,,,2,,,,23 years 202 days
5,5,12/04/2025,Sunrisers Hyderabad,Rajiv Gandhi International Stadium,36,194,38.80,,0,,,2,,,,23 years 206 days
6,6,15/04/2025,Kolkata Knight Riders,Maharaja Yadavindra Singh International Cricket St,22,216,36.00,,0,,,2,,,,23 years 209 days
7,7,18/04/2025,Royal Challengers Bengaluru,M Chinnaswamy Stadium,16,232,33.14,,0,,1,3,,,,23 years 212 days
8,8,20/04/2025,Royal Challengers Bengaluru,Maharaja Yadavindra Singh International Cricket St,22,254,31.75,,0,,,3,,,,23 years 214 days
9,9,26/04/2025,Kolkata Knight Riders,Eden Gardens,69,323,35.89,,0,,,3,,,,23 years 220 days
10,10,30/04/2025,Chennai Super Kings,MA Chidambaram Stadium,23,346,34.60,,0,,1,4,,,,23 years 224 days
11,11,04/05/2025,Lucknow Super Giants,Himachal Pradesh Cricket Association Stadium,1,347,31.55,,0,,,4,,,,23 years 228 days
12,12,18/05/2025,Rajasthan Royals,Sawai Mansingh Stadium,9,356,29.67,,0,,,4,,,,23 years 242 days
13,13,24/05/2025,Delhi Capitals,Sawai Mansingh Stadium,6,362,27.85,,0,,1,5,,,,23 years 248 days
14,14,26/05/2025,Mumbai Indians,Sawai Mansingh Stadium,62,424,30.29,,0,,1,6,,,,23 years 250 days
15,15,29/05/2025,Royal Challengers Bengaluru,Maharaja Yadavindra Singh International Cricket St,7,431,28.73,,0,,,6,,,,23 years 253 days
16,16,01/06/2025,Mumbai Indians,Narendra Modi Stadium,20,451,28.19,,0,,1,7,,,,23 years 256 days
