1,1,22/03/2024,Royal Challengers Bengaluru,MA Chidambaram Stadium,37,37,37.00,,0,,2,2,,,,24 years 125 days
2,2,26/03/2024,Gujarat Titans,MA Chidambaram Stadium,46,83,41.50,,0,,3,5,,,,24 years 129 days
3,3,31/03/2024,Delhi Capitals,Dr YS Rajasekhara Reddy Cricket Stadium,2,85,28.33,,0,,,5,,,,24 years 134 days
4,4,05/04/2024,Sunrisers Hyderabad,Rajiv Gandhi International Stadium,12,97,24.25,0/3,0,,1,6,,,,24 years 139 days
5,5,08/04/2024,Kolkata Knight Riders,MA Chidambaram Stadium,15,112,22.40,0/4,0,,1,7,,,,24 years 142 days
6,6,14/04/2024,Mumbai Indians,Wankhede Stadium,21,133,22.17,,0,,1,8,,,,24 years 148 days
7,7,19/04/2024,Lucknow Super Giants,BRSABV Ekana Cricket Stadium,0,133,19.00,,0,,,8,,,,24 years 153 days
8,8,10/05/2024,Gujarat Titans,Narendra Modi Stadium,1,134,16.75,,0,,,8,,,,24 years 174 days
9,9,12/05/2024,Rajasthan Royals,MA Chidambaram Stadium,27,161,17.89,,0,,,8,,,,24 years 176 days
10,10,18/05/2024,Royal Challengers Bengaluru,M Chinnaswamy Stadium,61,222,22.20,,0,,,8,,,,24 years 182 days
11,11,23/03/2025,Mumbai Indians,MA Chidambaram Stadium,65*,287,28.70,,0,,,8,,,,25 years 125 days
12,12,28/03/2025,Royal Challengers Bengaluru,MA Chidambaram Stadium,41,328,29.82,,0,,1,9,,,,25 years 130 days
13,13,30/03/2025,Rajasthan Royals,Barsapara Cricket Stadium,0,328,27.33,,0,,1,10,,,,25 years 132 days
14,14,05/04/2025,Delhi Capitals,MA Chidambaram Stadium,3,331,25.46,,0,,,10,,,,25 years 138 days
15,15,08/04/2025,Punjab Kings,Maharaja Yadavindra Singh International Cricket St,36,367,26.21,,0,,,10,,,,25 years 141 days
16,16,11/04/2025,Kolkata Knight Riders,MA Chidambaram Stadium,4,371,24.73,,0,,,10,,,,25 years 144 days
17,17,14/04/2025,Lucknow Super Giants,BRSABV Ekana Cricket Stadium,37,408,25.50,,0,,,10,,,,25 years 147 days
18,18,20/04/2025,Mumbai Indians,Wankhede Stadium,5,413,24.29,,0,,,10,,,,25 years 153 days
