1,1,20/04/2008,Kolkata Knight Riders,Eden Gardens,0,0,0.00,,0,,1,1,,,,20 years 356 days
2,2,22/04/2008,Delhi Capitals,Rajiv Gandhi International Stadium,66,66,33.00,,0,,,1,,,,20 years 358 days
3,3,24/04/2008,Rajasthan Royals,Rajiv Gandhi International Stadium,36,102,34.00,,0,,,1,,,,20 years 360 days
4,,27/04/2008,Mumbai Indians,Dr DY Patil Sports Academy,-,102,34.00,,0,,1,2,,,,20 years 363 days
5,4,01/05/2008,Punjab Kings,Rajiv Gandhi International Stadium,76*,178,59.33,,0,,1,3,,,,21 years 1 days
6,5,03/05/2008,Royal Challengers Bengaluru,M Chinnaswamy Stadium,57,235,58.75,,0,,,3,,,,21 years 3 days
7,6,06/05/2008,Chennai Super Kings,MA Chidambaram Stadium,23,258,51.60,,0,,2,5,,,,21 years 6 days
8,7,09/05/2008,Rajasthan Royals,Sawai Mansingh Stadium,5,263,43.83,,0,,,5,,,,21 years 9 days
9,8,11/05/2008,Kolkata Knight Riders,Rajiv Gandhi International Stadium,33,296,42.29,,0,,,5,,,,21 years 11 days
10,9,15/05/2008,Delhi Capitals,Arun Jaitley Stadium,35,331,41.38,,0,,1,6,,,,21 years 15 days
11,10,18/05/2008,Mumbai Indians,Rajiv Gandhi International Stadium,6,337,37.44,,0,,1,7,,,,21 years 18 days
12,11,23/05/2008,Punjab Kings,Punjab Cricket Association IS Bindra Stadium,50,387,38.70,1/25,1,25.00,1,8,,,,21 years 23 days
13,12,25/05/2008,Royal Challengers Bengaluru,Rajiv Gandhi International Stadium,17,404,36.73,,1,25.00,,8,,,,21 years 25 days
14,13,19/04/2009,Kolkata Knight Riders,Newlands,36*,440,40.00,,1,25.00,1,9,,,,21 years 354 days
15,14,22/04/2009,Royal Challengers Bengaluru,Newlands,52,492,41.00,,1,25.00,1,10,,,,21 years 357 days
16,15,25/04/2009,Mumbai Indians,Kingsmead,3,495,38.08,0/8,1,33.00,,10,,,,21 years 360 days
17,16,27/04/2009,Chennai Super Kings,Kingsmead,18,513,36.64,1/18,2,25.50,2,12,,,,21 years 362 days
18,17,30/04/2009,Delhi Capitals,SuperSport Park,17,530,35.33,0/10,2,30.50,,12,,,,22 years 0 days
19,18,02/05/2009,Rajasthan Royals,St George's Park,38,568,35.50,0/14,2,37.50,,12,,,,22 years 2 days
20,19,04/05/2009,Chennai Super Kings,Buffalo Park,21,589,34.65,0/8,2,41.50,,12,,,,22 years 4 days
21,20,06/05/2009,Mumbai Indians,SuperSport Park,38,627,34.83,4/6,6,14.83,,12,,,,22 years 6 days
22,21,09/05/2009,Punjab Kings,Diamond Oval,9,636,33.47,2/12,8,12.63,,12,,,,22 years 9 days
23,22,11/05/2009,Rajasthan Royals,Diamond Oval,9,645,32.25,3/12,11,10.27,,12,,,,22 years 11 days
24,23,13/05/2009,Delhi Capitals,Kingsmead,6,651,31.00,,11,10.27,,12,,,,22 years 13 days
25,24,16/05/2009,Kolkata Knight Riders,Wanderers Stadium,32*,683,32.52,1/15,12,10.67,,12,,,,22 years 16 days
26,25,17/05/2009,Punjab Kings,Wanderers Stadium,42,725,32.95,0/23,12,12.58,1,13,,,,22 years 17 days
27,26,21/05/2009,Royal Challengers Bengaluru,SuperSport Park,12,737,32.04,,12,12.58,,13,,,,22 years 21 days
28,27,22/05/2009,Delhi Capitals,SuperSport Park,5*,742,32.26,0/26,12,14.75,,13,,,,22 years 22 days
29,28,24/05/2009,Royal Challengers Bengaluru,Wanderers Stadium,24,766,31.92,0/9,12,15.50,,13,,,,22 years 24 days
30,29,12/03/2010,Kolkata Knight Riders,Dr DY Patil Sports Academy,13,779,31.16,,12,15.50,1,14,,,,22 years 316 days
31,30,14/03/2010,Chennai Super Kings,MA Chidambaram Stadium,19*,798,31.92,1/27,13,16.38,,14,,,,22 years 318 days
32,31,19/03/2010,Punjab Kings,Barabati Stadium,1,799,30.73,1/19,14,16.57,1,15,,,,22 years 323 days
33,32,21/03/2010,Delhi Capitals,Barabati Stadium,45,844,31.26,0/7,14,17.07,,15,,,,22 years 325 days
34,33,26/03/2010,Rajasthan Royals,Narendra Modi Stadium,49,893,31.89,0/17,14,18.29,,15,,,,22 years 330 days
35,34,28/03/2010,Mumbai Indians,Dr DY Patil Sports Academy,45,938,32.34,0/14,14,19.29,,15,,,,22 years 332 days
36,35,01/04/2010,Kolkata Knight Riders,Eden Gardens,2,940,31.33,0/16,14,20.43,1,16,,,,22 years 336 days
37,36,03/04/2010,Mumbai Indians,Brabourne Stadium,11,951,30.68,0/26,14,22.29,,16,,,,22 years 338 days
38,37,05/04/2010,Rajasthan Royals,Vidarbha Cricket Association Stadium,73,1024,32.00,,14,22.29,,16,,,,22 years 340 days
39,38,08/04/2010,Royal Challengers Bengaluru,M Chinnaswamy Stadium,6,1030,31.21,,14,22.29,1,17,,,,22 years 343 days
40,39,10/04/2010,Chennai Super Kings,Vidarbha Cricket Association Stadium,8,1038,30.53,0/19,14,23.64,1,18,,,,22 years 345 days
41,40,12/04/2010,Royal Challengers Bengaluru,Vidarbha Cricket Association Stadium,51,1089,31.11,,14,23.64,,18,,,,22 years 347 days
42,41,16/04/2010,Punjab Kings,Himachal Pradesh Cricket Association Stadium,68*,1157,33.06,0/8,14,24.21,,18,,,,22 years 351 days
43,42,18/04/2010,Delhi Capitals,Arun Jaitley Stadium,11,1168,32.44,,14,24.21,3,21,,,,22 years 353 days
44,43,22/04/2010,Chennai Super Kings,Dr DY Patil Sports Academy,2,1170,31.62,,14,24.21,1,22,,,,22 years 357 days
45,44,24/04/2010,Royal Challengers Bengaluru,Dr DY Patil Sports Academy,0,1170,30.79,,14,24.21,,22,,,,22 years 359 days
46,45,10/04/2011,Delhi Capitals,Arun Jaitley Stadium,27*,1197,31.50,,14,24.21,,22,,,,23 years 345 days
47,,12/04/2011,Royal Challengers Bengaluru,M Chinnaswamy Stadium,-,1197,31.50,,14,24.21,,22,,,,23 years 347 days
48,,15/04/2011,Kochi Tuskers Kerala,Barabati Stadium,-,1197,31.50,,14,24.21,,22,,,,23 years 350 days
49,46,20/04/2011,Pune Warriors,Wankhede Stadium,20*,1217,32.03,,14,24.21,1,23,,,,23 years 355 days
50,47,22/04/2011,Chennai Super Kings,Wankhede Stadium,87,1304,33.44,0/15,14,25.29,2,25,,,,23 years 357 days
51,48,24/04/2011,Deccan Chargers,Rajiv Gandhi International Stadium,56*,1360,34.87,,14,25.29,,25,,,,23 years 359 days
52,49,29/04/2011,Rajasthan Royals,Sawai Mansingh Stadium,13,1373,34.33,,14,25.29,,25,,,,23 years 364 days
53,50,02/05/2011,Punjab Kings,Wankhede Stadium,18,1391,33.93,,14,25.29,1,26,,,,24 years 2 days
54,51,04/05/2011,Pune Warriors,Dr DY Patil Sports Academy,12,1403,33.40,,14,25.29,1,27,,,,24 years 4 days
55,52,07/05/2011,Delhi Capitals,Wankhede Stadium,49,1452,33.77,,14,25.29,1,28,,,,24 years 7 days
56,53,10/05/2011,Punjab Kings,Punjab Cricket Association IS Bindra Stadium,5,1457,33.11,0/24,14,27.00,,28,,,,24 years 10 days
57,54,14/05/2011,Deccan Chargers,Wankhede Stadium,4,1461,32.47,,14,27.00,,28,,,,24 years 14 days
58,55,20/05/2011,Rajasthan Royals,Wankhede Stadium,58,1519,33.02,,14,27.00,,28,,,,24 years 20 days
59,56,22/05/2011,Kolkata Knight Riders,Eden Gardens,10,1529,32.53,0/35,14,29.50,,28,,,,24 years 22 days
60,57,25/05/2011,Kolkata Knight Riders,Wankhede Stadium,0,1529,31.85,,14,29.50,,28,,,,24 years 25 days
61,58,27/05/2011,Royal Challengers Bengaluru,MA Chidambaram Stadium,13,1542,31.47,0/14,14,30.50,1,29,,,,24 years 27 days
62,59,04/04/2012,Chennai Super Kings,MA Chidambaram Stadium,0,1542,30.84,,14,30.50,1,30,,,,24 years 340 days
63,60,06/04/2012,Pune Warriors,Wankhede Stadium,1,1543,30.25,,14,30.50,,30,,,,24 years 342 days
64,61,09/04/2012,Deccan Chargers,Dr YS Rajasekhara Reddy Cricket Stadium,73*,1616,31.69,,14,30.50,1,31,,,,24 years 345 days
65,62,11/04/2012,Rajasthan Royals,Wankhede Stadium,21,1637,31.48,,14,30.50,1,32,,,,24 years 347 days
66,63,16/04/2012,Delhi Capitals,Wankhede Stadium,29,1666,31.43,,14,30.50,,32,,,,24 years 352 days
67,64,22/04/2012,Punjab Kings,Wankhede Stadium,2,1668,30.89,,14,30.50,,32,,,,24 years 358 days
68,65,25/04/2012,Punjab Kings,Punjab Cricket Association IS Bindra Stadium,50,1718,31.24,,14,30.50,,32,,,,24 years 361 days
69,66,27/04/2012,Delhi Capitals,Arun Jaitley Stadium,12,1730,30.89,,14,30.50,1,33,,,,24 years 363 days
70,67,29/04/2012,Deccan Chargers,Wankhede Stadium,42,1772,31.09,,14,30.50,3,36,,,,24 years 365 days
