1,,27/04/2013,Sunrisers Hyderabad,Sawai Mansingh Stadium,-,0,,,0,,,0,,,,24 years 130 days
2,,05/05/2013,Pune Warriors,Sawai Mansingh Stadium,-,0,,,0,,,0,,,,24 years 138 days
3,,07/05/2013,Delhi Capitals,Sawai Mansingh Stadium,-,0,,,0,,1,1,,,,24 years 140 days
4,1,17/05/2013,Sunrisers Hyderabad,Rajiv Gandhi International Stadium,3,3,3.00,,0,,1,2,,,,24 years 150 days
5,2,30/04/2016,Sunrisers Hyderabad,Rajiv Gandhi International Stadium,27,30,15.00,,0,,,2,,,,27 years 134 days
6,3,02/05/2016,Kolkata Knight Riders,M Chinnaswamy Stadium,16,46,15.33,,0,,1,3,,,,27 years 136 days
7,,07/05/2016,Rising Pune Supergiant,M Chinnaswamy Stadium,-,46,15.33,,0,,,3,,,,27 years 141 days
8,4,09/05/2016,Punjab Kings,Punjab Cricket Association IS Bindra Stadium,33,79,19.75,,0,,,3,,,,27 years 143 days
9,5,11/05/2016,Mumbai Indians,M Chinnaswamy Stadium,25*,104,26.00,,0,,,3,,,,27 years 145 days
10,,14/05/2016,Gujarat Lions,M Chinnaswamy Stadium,-,104,26.00,2/4,2,2.00,,3,,,,27 years 148 days
11,,16/05/2016,Kolkata Knight Riders,Eden Gardens,-,104,26.00,,2,2.00,,3,,,,27 years 150 days
12,,18/05/2016,Punjab Kings,M Chinnaswamy Stadium,-,104,26.00,0/4,2,4.00,,3,,,,27 years 152 days
13,,22/05/2016,Delhi Capitals,Shaheed Veer Narayan Sing International Stadium,-,104,26.00,,2,4.00,,3,,,,27 years 156 days
14,6,24/05/2016,Gujarat Lions,M Chinnaswamy Stadium,0,104,20.80,,2,4.00,,3,,,,27 years 158 days
15,7,29/05/2016,Sunrisers Hyderabad,M Chinnaswamy Stadium,18*,122,24.40,,2,4.00,,3,,,,27 years 163 days
16,8,05/04/2017,Sunrisers Hyderabad,Rajiv Gandhi International Stadium,1,123,20.50,,2,4.00,2,5,,,,28 years 108 days
17,9,29/04/2017,Rising Pune Supergiant,Maharashtra Cricket Association Stadium,2,125,17.86,,2,4.00,,5,,,,28 years 132 days
18,10,14/05/2017,Delhi Capitals,Arun Jaitley Stadium,12,137,17.13,,2,4.00,,5,,,,28 years 147 days
19,11,20/09/2021,Kolkata Knight Riders,Sheikh Zayed Stadium,7,144,16.00,,2,4.00,,5,,,,32 years 276 days
