1,1,08/04/2022,Punjab Kings,Brabourne Stadium,35,35,35.00,,0,,,0,,,,20 years 175 days
2,2,11/04/2022,Sunrisers Hyderabad,Dr DY Patil Sports Academy,11,46,23.00,,0,,1,1,,,,20 years 178 days
3,3,30/04/2022,Royal Challengers Bengaluru,Brabourne Stadium,20,66,22.00,,0,,,1,,,,20 years 197 days
4,4,03/05/2022,Punjab Kings,Dr DY Patil Sports Academy,65*,131,43.67,,0,,,1,,,,20 years 200 days
5,5,06/05/2022,Mumbai Indians,Brabourne Stadium,14,145,36.25,,0,,,1,,,,20 years 203 days
6,6,31/03/2023,Chennai Super Kings,Narendra Modi Stadium,22,167,33.40,,0,,,1,,,,21 years 167 days
7,7,04/04/2023,Delhi Capitals,Arun Jaitley Stadium,62*,229,45.80,,0,,,1,,,,21 years 171 days
8,8,09/04/2023,Kolkata Knight Riders,Narendra Modi Stadium,53,282,47.00,,0,,,1,,,,21 years 176 days
9,9,13/04/2023,Punjab Kings,Punjab Cricket Association IS Bindra Stadium,19,301,43.00,,0,,,1,,,,21 years 180 days
10,10,16/04/2023,Rajasthan Royals,Narendra Modi Stadium,20,321,40.13,,0,,,1,,,,21 years 183 days
11,11,15/05/2023,Sunrisers Hyderabad,Narendra Modi Stadium,47,368,40.89,,0,,1,2,,,,21 years 212 days
12,12,26/05/2023,Mumbai Indians,Narendra Modi Stadium,43,411,41.10,,0,,1,3,,,,21 years 223 days
13,13,29/05/2023,Chennai Super Kings,Narendra Modi Stadium,96,507,46.09,,0,,,3,,,,21 years 226 days
14,14,24/03/2024,Mumbai Indians,Narendra Modi Stadium,45,552,46.00,,0,,,3,,,,22 years 161 days
15,15,26/03/2024,Chennai Super Kings,MA Chidambaram Stadium,37,589,45.31,,0,,,3,,,,22 years 163 days
16,16,31/03/2024,Sunrisers Hyderabad,Narendra Modi Stadium,45,634,45.29,,0,,,3,,,,22 years 168 days
17,17,04/04/2024,Punjab Kings,Narendra Modi Stadium,33,667,44.47,,0,,,3,,,,22 years 172 days
18,18,07/04/2024,Lucknow Super Giants,BRSABV Ekana Cricket Stadium,31,698,43.63,,0,,,3,,,,22 years 175 days
19,19,10/04/2024,Rajasthan Royals,Sawai Mansingh Stadium,35,733,43.12,,0,,,3,,,,22 years 178 days
20,20,17/04/2024,Delhi Capitals,Narendra Modi Stadium,12,745,41.39,,0,,,3,,,,22 years 185 days
21,21,21/04/2024,Punjab Kings,Maharaja Yadavindra Singh International Cricket St,31,776,40.84,,0,,,3,,,,22 years 189 days
22,22,24/04/2024,Delhi Capitals,Arun Jaitley Stadium,65,841,42.05,,0,,1,4,,,,22 years 192 days
23,23,28/04/2024,Royal Challengers Bengaluru,Narendra Modi Stadium,84*,925,46.25,,0,,,4,,,,22 years 196 days
24,24,04/05/2024,Royal Challengers Bengaluru,M Chinnaswamy Stadium,6,931,44.33,,0,,,4,,,,22 years 202 days
25,25,10/05/2024,Chennai Super Kings,Narendra Modi Stadium,103,1034,47.00,,0,,,4,,,,22 years 208 days
26,26,25/03/2025,Punjab Kings,Narendra Modi Stadium,74,1108,48.17,,0,,1,5,,,,23 years 161 days
27,27,29/03/2025,Mumbai Indians,Narendra Modi Stadium,63,1171,48.79,,0,,,5,,,,23 years 165 days
28,28,02/04/2025,Royal Challengers Bengaluru,M Chinnaswamy Stadium,49,1220,48.80,,0,,,5,,,,23 years 169 days
29,29,06/04/2025,Sunrisers Hyderabad,Rajiv Gandhi International Stadium,5,1225,47.12,,0,,2,7,,,,23 years 173 days
30,30,09/04/2025,Rajasthan Royals,Narendra Modi Stadium,82,1307,48.41,,0,,2,9,,,,23 years 176 days
31,31,12/04/2025,Lucknow Super Giants,BRSABV Ekana Cricket Stadium,56,1363,48.68,,0,,,9,,,,23 years 179 days
32,32,19/04/2025,Delhi Capitals,Narendra Modi Stadium,36,1399,48.24,,0,,,9,,,,23 years 186 days
33,33,21/04/2025,Kolkata Knight Riders,Eden Gardens,52,1451,48.37,,0,,,9,,,,23 years 188 days
34,34,28/04/2025,Rajasthan Royals,Sawai Mansingh Stadium,39,1490,48.06,,0,,,9,,,,23 years 195 days
35,35,02/05/2025,Sunrisers Hyderabad,Narendra Modi Stadium,48,1538,48.06,,0,,,9,,,,23 years 199 days
36,36,06/05/2025,Mumbai Indians,Wankhede Stadium,5,1543,46.76,,0,,2,11,,,,23 years 203 days
37,37,18/05/2025,Delhi Capitals,Arun Jaitley Stadium,108*,1651,50.03,,0,,,11,,,,23 years 215 days
38,38,22/05/2025,Lucknow Super Giants,Narendra Modi Stadium,21,1672,49.18,,0,,,11,,,,23 years 219 days
39,39,25/05/2025,Chennai Super Kings,Narendra Modi Stadium,41,1713,48.94,,0,,,11,,,,23 years 222 days
