1,1,14/04/2013,Punjab Kings,Sawai Mansingh Stadium,27*,27,,,0,,,0,3,,3,18 years 154 days
2,2,29/04/2013,Royal Challengers Bengaluru,Sawai Mansingh Stadium,63,90,90.00,,0,,,0,2,,5,18 years 169 days
3,3,03/05/2013,Kolkata Knight Riders,Eden Gardens,40,130,65.00,,0,,,0,,,5,18 years 173 days
4,4,05/05/2013,Pune Warriors,Sawai Mansingh Stadium,10,140,46.67,,0,,,0,,,5,18 years 175 days
5,,07/05/2013,Delhi Capitals,Sawai Mansingh Stadium,-,140,46.67,,0,,,0,1,,6,18 years 177 days
6,5,09/05/2013,Punjab Kings,Punjab Cricket Association IS Bindra Stadium,47*,187,62.33,,0,,1,1,,,6,18 years 179 days
7,6,12/05/2013,Chennai Super Kings,Sawai Mansingh Stadium,0,187,46.75,,0,,1,2,,,6,18 years 182 days
8,7,15/05/2013,Mumbai Indians,Wankhede Stadium,4,191,38.20,,0,,2,4,,,6,18 years 185 days
9,8,17/05/2013,Sunrisers Hyderabad,Rajiv Gandhi International Stadium,5,196,32.67,,0,,,4,,,6,18 years 187 days
10,9,22/05/2013,Sunrisers Hyderabad,Arun Jaitley Stadium,10,206,29.43,,0,,1,5,,,6,18 years 192 days
11,10,24/05/2013,Mumbai Indians,Eden Gardens,0,206,25.75,,0,,2,7,,,6,18 years 194 days
12,11,18/04/2014,Sunrisers Hyderabad,Sheikh Zayed Stadium,3,209,23.22,,0,,,7,1,,7,19 years 158 days
13,12,20/04/2014,Punjab Kings,Sharjah Cricket Stadium,52,261,26.10,,0,,,7,,,7,19 years 160 days
14,13,23/04/2014,Chennai Super Kings,Dubai International Cricket Stadium,16,277,25.18,,0,,,7,,,7,19 years 163 days
15,14,26/04/2014,Royal Challengers Bengaluru,Sheikh Zayed Stadium,2,279,23.25,,0,,,7,1,,8,19 years 166 days
16,15,29/04/2014,Kolkata Knight Riders,Sheikh Zayed Stadium,20,299,23.00,,0,,,7,,,8,19 years 169 days
17,16,03/05/2014,Delhi Capitals,Arun Jaitley Stadium,34,333,23.79,,0,,,7,,,8,19 years 173 days
18,17,05/05/2014,Kolkata Knight Riders,Narendra Modi Stadium,37,370,24.67,,0,,,7,1,1,10,19 years 175 days
19,18,08/05/2014,Sunrisers Hyderabad,Narendra Modi Stadium,16,386,24.13,,0,,,7,1,1,12,19 years 178 days
20,19,11/05/2014,Royal Challengers Bengaluru,M Chinnaswamy Stadium,13,399,23.47,,0,,,7,1,,13,19 years 181 days
21,20,15/05/2014,Delhi Capitals,Narendra Modi Stadium,40,439,24.39,,0,,,7,,,13,19 years 185 days
22,21,19/05/2014,Mumbai Indians,Narendra Modi Stadium,2,441,23.21,,0,,,7,,,13,19 years 189 days
23,22,23/05/2014,Punjab Kings,Punjab Cricket Association IS Bindra Stadium,30,471,23.55,,0,,,7,,,13,19 years 193 days
24,23,25/05/2014,Mumbai Indians,Wankhede Stadium,74,545,25.95,,0,,,7,,,13,19 years 195 days
25,24,10/04/2015,Punjab Kings,Maharashtra Cricket Association Stadium,5,550,25.00,,0,,,7,1,,14,20 years 150 days
26,25,12/04/2015,Delhi Capitals,Arun Jaitley Stadium,11,561,24.39,,0,,,7,,,14,20 years 152 days
27,26,14/04/2015,Mumbai Indians,Narendra Modi Stadium,17,578,24.08,,0,,,7,,,14,20 years 154 days
28,27,16/04/2015,Sunrisers Hyderabad,Dr YS Rajasekhara Reddy Cricket Stadium,26,604,24.16,,0,,,7,1,,15,20 years 156 days
29,,19/04/2015,Chennai Super Kings,Narendra Modi Stadium,-,604,24.16,,0,,,7,1,,16,20 years 159 days
30,28,21/04/2015,Punjab Kings,Narendra Modi Stadium,5*,609,24.36,,0,,,7,,,16,20 years 161 days
31,29,24/04/2015,Royal Challengers Bengaluru,Narendra Modi Stadium,4,613,23.58,,0,,,7,1,,17,20 years 164 days
32,,29/04/2015,Royal Challengers Bengaluru,M Chinnaswamy Stadium,-,613,23.58,,0,,,7,1,,18,20 years 169 days
33,30,01/05/2015,Mumbai Indians,Wankhede Stadium,76,689,25.52,,0,,,7,1,,19,20 years 171 days
34,,03/05/2015,Delhi Capitals,Brabourne Stadium,-,689,25.52,,0,,,7,1,,20,20 years 173 days
35,31,07/05/2015,Sunrisers Hyderabad,Brabourne Stadium,21,710,25.36,,0,,,7,1,,21,20 years 177 days
36,32,10/05/2015,Chennai Super Kings,MA Chidambaram Stadium,26,736,25.38,,0,,,7,,,21,20 years 180 days
37,33,16/05/2015,Kolkata Knight Riders,Brabourne Stadium,8,744,24.80,,0,,,7,1,,22,20 years 186 days
38,34,20/05/2015,Royal Challengers Bengaluru,Maharashtra Cricket Association Stadium,5,749,24.16,,0,,,7,,,22,20 years 190 days
39,35,10/04/2016,Kolkata Knight Riders,Eden Gardens,15,764,23.88,,0,,,7,,,22,21 years 151 days
40,36,15/04/2016,Punjab Kings,Arun Jaitley Stadium,33,797,24.15,,0,,,7,,,22,21 years 156 days
41,37,17/04/2016,Royal Challengers Bengaluru,M Chinnaswamy Stadium,9,806,23.71,,0,,,7,,,22,21 years 158 days
42,38,23/04/2016,Mumbai Indians,Arun Jaitley Stadium,60,866,24.74,,0,,,7,,,22,21 years 164 days
43,39,27/04/2016,Gujarat Lions,Arun Jaitley Stadium,1,867,24.08,,0,,,7,,,22,21 years 168 days
44,40,30/04/2016,Kolkata Knight Riders,Arun Jaitley Stadium,15,882,23.84,,0,,,7,,,22,21 years 171 days
45,41,03/05/2016,Gujarat Lions,Saurashtra Cricket Association Stadium,19*,901,24.35,,0,,,7,,,22,21 years 174 days
46,42,05/05/2016,Rising Pune Supergiant,Arun Jaitley Stadium,20,921,24.24,,0,,,7,,1,23,21 years 176 days
47,43,07/05/2016,Punjab Kings,Punjab Cricket Association IS Bindra Stadium,49,970,24.87,,0,,1,8,,,23,21 years 178 days
48,44,12/05/2016,Sunrisers Hyderabad,Rajiv Gandhi International Stadium,34*,1004,25.74,,0,,2,10,,,23,21 years 183 days
49,45,15/05/2016,Mumbai Indians,Dr YS Rajasekhara Reddy Cricket Stadium,6,1010,25.25,,0,,,10,,,23,21 years 186 days
50,46,17/05/2016,Rising Pune Supergiant,Dr YS Rajasekhara Reddy Cricket Stadium,10,1020,24.88,,0,,,10,,,23,21 years 188 days
51,47,20/05/2016,Sunrisers Hyderabad,Shaheed Veer Narayan Sing International Stadium,3*,1023,24.95,,0,,,10,,,23,21 years 191 days
52,48,22/05/2016,Royal Challengers Bengaluru,Shaheed Veer Narayan Sing International Stadium,17,1040,24.76,,0,,,10,,,23,21 years 193 days
53,49,08/04/2017,Royal Challengers Bengaluru,M Chinnaswamy Stadium,13,1053,24.49,,0,,1,11,,,23,22 years 148 days
54,50,11/04/2017,Rising Pune Supergiant,Maharashtra Cricket Association Stadium,102,1155,26.25,,0,,2,13,,,23,22 years 151 days
55,51,15/04/2017,Punjab Kings,Arun Jaitley Stadium,19,1174,26.09,,0,,,13,,,23,22 years 155 days
56,52,17/04/2017,Kolkata Knight Riders,Arun Jaitley Stadium,39,1213,26.37,,0,,,13,,,23,22 years 157 days
57,53,19/04/2017,Sunrisers Hyderabad,Rajiv Gandhi International Stadium,42,1255,26.70,,0,,,13,,,23,22 years 159 days
58,54,22/04/2017,Mumbai Indians,Wankhede Stadium,9,1264,26.33,,0,,1,14,,,23,22 years 162 days
59,55,28/04/2017,Kolkata Knight Riders,Eden Gardens,60,1324,27.02,,0,,,14,,,23,22 years 168 days
60,56,30/04/2017,Punjab Kings,Punjab Cricket Association IS Bindra Stadium,5,1329,26.58,,0,,,14,,,23,22 years 170 days
61,57,02/05/2017,Sunrisers Hyderabad,Arun Jaitley Stadium,24,1353,26.53,,0,,,14,,,23,22 years 172 days
62,58,04/05/2017,Gujarat Lions,Arun Jaitley Stadium,61,1414,27.19,,0,,,14,,,23,22 years 174 days
