1,1,01/05/2015,Delhi Capitals,Arun Jaitley Stadium,7*,7,,1/38,1,38.00,,0,,,,23 years 197 days
2,2,14/04/2017,Gujarat Lions,Saurashtra Cricket Association Stadium,0,7,7.00,1/14,2,26.00,,0,,,,25 years 180 days
3,3,16/04/2017,Royal Challengers Bengaluru,M Chinnaswamy Stadium,0,7,3.50,3/35,5,17.40,,0,,,,25 years 182 days
4,,22/04/2017,Sunrisers Hyderabad,Maharashtra Cricket Association Stadium,-,7,3.50,0/50,5,27.40,,0,,,,25 years 188 days
5,,24/04/2017,Mumbai Indians,Wankhede Stadium,-,7,3.50,0/29,5,33.20,,0,,,,25 years 190 days
6,,26/04/2017,Kolkata Knight Riders,Maharashtra Cricket Association Stadium,-,7,3.50,0/31,5,39.40,1,1,,,,25 years 192 days
7,,01/05/2017,Gujarat Lions,Maharashtra Cricket Association Stadium,-,7,3.50,1/25,6,37.00,,1,,,,25 years 197 days
8,,03/05/2017,Kolkata Knight Riders,Eden Gardens,-,7,3.50,0/21,6,40.50,,1,,,,25 years 199 days
9,4,06/05/2017,Sunrisers Hyderabad,Rajiv Gandhi International Stadium,0,7,2.33,0/12,6,42.50,1,2,,,,25 years 202 days
10,,12/05/2017,Delhi Capitals,Arun Jaitley Stadium,-,7,2.33,0/35,6,48.33,,2,,,,25 years 208 days
11,,14/05/2017,Punjab Kings,Maharashtra Cricket Association Stadium,-,7,2.33,3/19,9,34.33,,2,,,,25 years 210 days
12,,16/05/2017,Mumbai Indians,Wankhede Stadium,-,7,2.33,3/37,12,28.83,,2,,,,25 years 212 days
13,,21/05/2017,Mumbai Indians,Rajiv Gandhi International Stadium,-,7,2.33,0/7,12,29.42,2,4,,,,25 years 217 days
14,,10/04/2018,Kolkata Knight Riders,MA Chidambaram Stadium,-,7,2.33,1/37,13,30.00,,4,,,,26 years 176 days
15,,15/04/2018,Punjab Kings,Punjab Cricket Association IS Bindra Stadium,-,7,2.33,2/33,15,28.20,,4,,,,26 years 181 days
16,,20/04/2018,Rajasthan Royals,Maharashtra Cricket Association Stadium,-,7,2.33,2/18,17,25.94,1,5,,,,26 years 186 days
17,,22/04/2018,Sunrisers Hyderabad,Rajiv Gandhi International Stadium,-,7,2.33,1/45,18,27.00,,5,,,,26 years 188 days
18,,25/04/2018,Royal Challengers Bengaluru,M Chinnaswamy Stadium,-,7,2.33,2/46,20,26.60,,5,,,,26 years 191 days
19,,28/04/2018,Mumbai Indians,Maharashtra Cricket Association Stadium,-,7,2.33,0/38,20,28.50,1,6,,,,26 years 194 days
20,,05/05/2018,Royal Challengers Bengaluru,Maharashtra Cricket Association Stadium,-,7,2.33,0/19,20,29.45,1,7,,,,26 years 201 days
21,,11/05/2018,Rajasthan Royals,Sawai Mansingh Stadium,-,7,2.33,1/22,21,29.10,,7,,,,26 years 207 days
22,,13/05/2018,Sunrisers Hyderabad,Maharashtra Cricket Association Stadium,-,7,2.33,2/32,23,27.96,,7,,,,26 years 209 days
23,,18/05/2018,Delhi Capitals,Arun Jaitley Stadium,-,7,2.33,1/27,24,27.92,1,8,,,,26 years 214 days
24,,20/05/2018,Punjab Kings,Maharashtra Cricket Association Stadium,-,7,2.33,2/33,26,27.04,,8,,,,26 years 216 days
