1,1,20/04/2019,Punjab Kings,Arun Jaitley Stadium,2*,2,,0/5,0,,1,1,,,,20 years 248 days
2,2,22/04/2019,Rajasthan Royals,Sawai Mansingh Stadium,11,13,13.00,0/16,0,,1,2,,,,20 years 250 days
3,3,28/04/2019,Royal Challengers Bengaluru,Arun Jaitley Stadium,28*,41,41.00,1/6,1,27.00,1,3,,,,20 years 256 days
4,4,01/05/2019,Chennai Super Kings,MA Chidambaram Stadium,2,43,21.50,0/19,1,46.00,,3,,,,20 years 259 days
5,5,04/05/2019,Rajasthan Royals,Arun Jaitley Stadium,11,54,18.00,0/2,1,48.00,1,4,,,,20 years 262 days
6,6,08/05/2019,Sunrisers Hyderabad,Dr YS Rajasekhara Reddy Cricket Stadium,9,63,15.75,0/11,1,59.00,1,5,,,,20 years 266 days
7,7,10/05/2019,Chennai Super Kings,Dr YS Rajasekhara Reddy Cricket Stadium,10,73,14.60,,1,59.00,,5,,,,20 years 268 days
8,,27/03/2022,Punjab Kings,Dr DY Patil Sports Academy,-,73,14.60,,1,59.00,,5,,,,23 years 224 days
9,8,30/03/2022,Kolkata Knight Riders,Dr DY Patil Sports Academy,28,101,16.83,,1,59.00,,5,,,,23 years 227 days
10,9,05/04/2022,Rajasthan Royals,Wankhede Stadium,5,106,15.14,,1,59.00,,5,,,,23 years 233 days
11,10,25/03/2025,Punjab Kings,Narendra Modi Stadium,46,152,19.00,,1,59.00,,5,,,,26 years 222 days
12,11,29/03/2025,Mumbai Indians,Narendra Modi Stadium,18,170,18.89,,1,59.00,,5,,,,26 years 226 days
13,12,02/04/2025,Royal Challengers Bengaluru,M Chinnaswamy Stadium,30*,200,22.22,,1,59.00,,5,,,,26 years 230 days
14,13,06/04/2025,Sunrisers Hyderabad,Rajiv Gandhi International Stadium,35*,235,26.11,,1,59.00,,5,,,,26 years 234 days
15,14,09/04/2025,Rajasthan Royals,Narendra Modi Stadium,7,242,24.20,,1,59.00,,5,,,,26 years 237 days
16,15,12/04/2025,Lucknow Super Giants,BRSABV Ekana Cricket Stadium,22,264,24.00,,1,59.00,,5,,,,26 years 240 days
17,16,19/04/2025,Delhi Capitals,Narendra Modi Stadium,43,307,25.58,,1,59.00,,5,,,,26 years 247 days
18,,21/04/2025,Kolkata Knight Riders,Eden Gardens,-,307,25.58,,1,59.00,,5,,,,26 years 249 days
19,17,06/05/2025,Mumbai Indians,Wankhede Stadium,28,335,25.77,,1,59.00,,5,,,,26 years 264 days
20,,18/05/2025,Delhi Capitals,Arun Jaitley Stadium,-,335,25.77,,1,59.00,,5,,,,26 years 276 days
21,18,22/05/2025,Lucknow Super Giants,Narendra Modi Stadium,38,373,26.64,,1,59.00,1,6,,,,26 years 280 days
22,19,25/05/2025,Chennai Super Kings,Narendra Modi Stadium,0,373,24.87,,1,59.00,,6,,,,26 years 283 days
