1,,19/05/2014,Rajasthan Royals,Narendra Modi Stadium,-,0,,2/25,2,12.50,,0,,,,20 years 257 days
2,,21/05/2014,Punjab Kings,Punjab Cricket Association IS Bindra Stadium,-,0,,2/32,4,14.25,1,1,,,,20 years 259 days
3,1,23/05/2014,Delhi Capitals,Wankhede Stadium,11,11,11.00,1/20,5,15.40,,1,,,,20 years 261 days
4,,25/05/2014,Rajasthan Royals,Wankhede Stadium,-,11,11.00,1/36,6,18.83,,1,,,,20 years 263 days
5,2,14/04/2015,Rajasthan Royals,Narendra Modi Stadium,1*,12,12.00,1/23,7,19.43,,1,,,,21 years 222 days
6,3,09/04/2016,Rising Pune Supergiant,Wankhede Stadium,2,14,7.00,0/18,7,22.00,,1,,,,22 years 218 days
7,4,09/04/2018,Sunrisers Hyderabad,Rajiv Gandhi International Stadium,18,32,10.67,0/17,7,24.43,,1,,,,24 years 217 days
8,,11/04/2018,Delhi Capitals,Sawai Mansingh Stadium,-,32,10.67,,7,24.43,,1,,,,24 years 219 days
9,,15/04/2018,Royal Challengers Bengaluru,M Chinnaswamy Stadium,-,32,10.67,2/22,9,21.44,,1,,,,24 years 223 days
10,5,18/04/2018,Kolkata Knight Riders,Sawai Mansingh Stadium,0,32,8.00,0/23,9,24.00,,1,,,,24 years 226 days
11,6,20/04/2018,Chennai Super Kings,Maharashtra Cricket Association Stadium,8*,40,10.00,3/20,12,19.67,,1,,,,24 years 228 days
12,,22/04/2018,Mumbai Indians,Sawai Mansingh Stadium,-,40,10.00,0/30,12,22.17,,1,,,,24 years 230 days
13,,02/05/2018,Delhi Capitals,Arun Jaitley Stadium,-,40,10.00,1/26,13,22.46,1,2,,,,24 years 240 days
14,7,06/05/2018,Punjab Kings,Holkar Cricket Stadium,24,64,12.80,0/26,13,24.46,,2,,,,24 years 244 days
15,,13/05/2018,Mumbai Indians,Wankhede Stadium,-,64,12.80,0/21,13,26.08,,2,,,,24 years 251 days
16,,19/05/2018,Royal Challengers Bengaluru,Sawai Mansingh Stadium,-,64,12.80,4/16,17,20.88,1,3,,,,24 years 257 days
17,,23/05/2018,Kolkata Knight Riders,Eden Gardens,-,64,12.80,1/34,18,21.61,1,4,,,,24 years 261 days
18,8,25/03/2019,Punjab Kings,Sawai Mansingh Stadium,1*,65,13.00,0/5,18,21.89,,4,,,,25 years 202 days
19,,29/03/2019,Sunrisers Hyderabad,Rajiv Gandhi International Stadium,-,65,13.00,3/26,21,20.00,,4,,,,25 years 206 days
20,9,31/03/2019,Chennai Super Kings,MA Chidambaram Stadium,0,65,10.83,0/23,21,21.10,,4,,,,25 years 208 days
21,,02/04/2019,Royal Challengers Bengaluru,Sawai Mansingh Stadium,-,65,10.83,3/12,24,18.96,1,5,,,,25 years 210 days
22,,07/04/2019,Kolkata Knight Riders,Sawai Mansingh Stadium,-,65,10.83,2/35,26,18.85,,5,,,,25 years 215 days
23,10,11/04/2019,Chennai Super Kings,Sawai Mansingh Stadium,19*,84,14.00,0/31,26,20.04,1,6,,,,25 years 219 days
24,11,13/04/2019,Mumbai Indians,Wankhede Stadium,13*,97,16.17,0/21,26,20.85,1,7,,,,25 years 221 days
25,12,16/04/2019,Punjab Kings,Punjab Cricket Association IS Bindra Stadium,0,97,13.86,0/31,26,22.04,,7,,,,25 years 224 days
26,,20/04/2019,Mumbai Indians,Sawai Mansingh Stadium,-,97,13.86,2/21,28,21.21,1,8,,,,25 years 228 days
27,,22/04/2019,Delhi Capitals,Sawai Mansingh Stadium,-,97,13.86,2/47,30,21.37,,8,,,,25 years 230 days
28,13,25/04/2019,Kolkata Knight Riders,Eden Gardens,18,115,14.38,1/31,31,21.68,,8,,,,25 years 233 days
29,,27/04/2019,Sunrisers Hyderabad,Sawai Mansingh Stadium,-,115,14.38,2/30,33,21.27,1,9,,,,25 years 235 days
30,,30/04/2019,Royal Challengers Bengaluru,M Chinnaswamy Stadium,-,115,14.38,3/12,36,19.83,,9,,,,25 years 238 days
31,14,04/05/2019,Delhi Capitals,Arun Jaitley Stadium,12,127,14.11,2/21,38,19.34,,9,,,,25 years 242 days
32,,22/09/2020,Chennai Super Kings,Sharjah Cricket Stadium,-,127,14.11,1/38,39,19.82,,9,,,,27 years 18 days
33,,27/09/2020,Punjab Kings,Sharjah Cricket Stadium,-,127,14.11,0/44,39,20.95,1,10,,,,27 years 23 days
34,15,30/09/2020,Kolkata Knight Riders,Dubai International Cricket Stadium,5,132,13.20,0/43,39,22.05,,10,,,,27 years 26 days
35,,03/10/2020,Royal Challengers Bengaluru,Sheikh Zayed Stadium,-,132,13.20,1/27,40,22.18,,10,,,,27 years 29 days
36,16,06/10/2020,Mumbai Indians,Sheikh Zayed Stadium,1,133,12.09,2/28,42,21.79,1,11,,,,27 years 32 days
37,17,09/10/2020,Delhi Capitals,Sharjah Cricket Stadium,2,135,11.25,0/23,42,22.33,,11,,,,27 years 35 days
38,,11/10/2020,Sunrisers Hyderabad,Dubai International Cricket Stadium,-,135,11.25,0/31,42,23.07,,11,,,,27 years 37 days
39,18,14/10/2020,Delhi Capitals,Dubai International Cricket Stadium,6,141,10.85,1/31,43,23.26,,11,,,,27 years 40 days
40,,17/10/2020,Royal Challengers Bengaluru,Dubai International Cricket Stadium,-,141,10.85,1/32,44,23.45,,11,,,,27 years 43 days
41,,19/10/2020,Chennai Super Kings,Sheikh Zayed Stadium,-,141,10.85,1/14,45,23.24,,11,,,,27 years 45 days
42,,22/10/2020,Sunrisers Hyderabad,Dubai International Cricket Stadium,-,141,10.85,0/32,45,23.96,,11,,,,27 years 48 days
43,,25/10/2020,Mumbai Indians,Sheikh Zayed Stadium,-,141,10.85,2/30,47,23.57,,11,,,,27 years 51 days
44,,30/10/2020,Punjab Kings,Sheikh Zayed Stadium,-,141,10.85,0/10,47,23.79,,11,,,,27 years 56 days
45,19,01/11/2020,Kolkata Knight Riders,Dubai International Cricket Stadium,23*,164,12.62,1/44,48,24.21,,11,,,,27 years 58 days
46,,12/04/2021,Punjab Kings,Wankhede Stadium,-,164,12.62,0/40,48,25.04,,11,,,,27 years 220 days
47,20,22/04/2021,Royal Challengers Bengaluru,Wankhede Stadium,7*,171,13.15,0/35,48,25.77,,11,,,,27 years 230 days
48,21,05/10/2021,Mumbai Indians,Sharjah Cricket Stadium,0,171,12.21,0/9,48,25.96,,11,,,,28 years 31 days
49,22,05/05/2022,Delhi Capitals,Brabourne Stadium,9*,180,12.86,1/34,49,26.12,,11,,,,28 years 243 days
50,,11/04/2024,Royal Challengers Bengaluru,Wankhede Stadium,-,180,12.86,1/32,50,26.24,,11,,,,30 years 220 days
51,,14/04/2024,Chennai Super Kings,Wankhede Stadium,-,180,12.86,1/9,51,25.90,,11,,,,30 years 223 days
52,,18/04/2024,Punjab Kings,Maharaja Yadavindra Singh International Cricket St,-,180,12.86,1/26,52,25.90,1,12,,,,30 years 227 days
