1,1,14/04/2018,Sunrisers Hyderabad,Eden Gardens,3,3,3.00,,0,,,0,,,,18 years 218 days
2,2,16/04/2018,Delhi Capitals,Eden Gardens,6,9,4.50,,0,,,0,,,,18 years 220 days
3,,18/04/2018,Rajasthan Royals,Sawai Mansingh Stadium,-,9,4.50,,0,,,0,,,,18 years 222 days
4,3,21/04/2018,Punjab Kings,Eden Gardens,14*,23,11.50,,0,,,0,,,,18 years 225 days
5,4,27/04/2018,Delhi Capitals,Arun Jaitley Stadium,37,60,20.00,,0,,,0,,,,18 years 231 days
6,5,29/04/2018,Royal Challengers Bengaluru,M Chinnaswamy Stadium,5*,65,21.67,,0,,1,1,,,,18 years 233 days
7,6,03/05/2018,Chennai Super Kings,Eden Gardens,57*,122,40.67,,0,,,1,,,,18 years 237 days
8,7,06/05/2018,Mumbai Indians,Wankhede Stadium,7,129,32.25,,0,,1,2,,,,18 years 240 days
9,8,12/05/2018,Punjab Kings,Holkar Cricket Stadium,16*,145,36.25,,0,,,2,,,,18 years 246 days
10,,15/05/2018,Rajasthan Royals,Eden Gardens,-,145,36.25,,0,,1,3,,,,18 years 249 days
11,9,19/05/2018,Sunrisers Hyderabad,Rajiv Gandhi International Stadium,0*,145,36.25,,0,,,3,,,,18 years 253 days
12,10,23/05/2018,Rajasthan Royals,Eden Gardens,28,173,34.60,,0,,,3,,,,18 years 257 days
13,11,25/05/2018,Sunrisers Hyderabad,Eden Gardens,30,203,33.83,,0,,,3,,,,18 years 259 days
14,12,24/03/2019,Sunrisers Hyderabad,Eden Gardens,18*,221,36.83,,0,,,3,,,,19 years 197 days
15,,27/03/2019,Punjab Kings,Eden Gardens,-,221,36.83,,0,,,3,,,,19 years 200 days
16,13,30/03/2019,Delhi Capitals,Arun Jaitley Stadium,4,225,32.14,,0,,2,5,,,,19 years 203 days
17,14,05/04/2019,Royal Challengers Bengaluru,M Chinnaswamy Stadium,3*,228,32.57,,0,,1,6,,,,19 years 209 days
18,15,07/04/2019,Rajasthan Royals,Sawai Mansingh Stadium,6*,234,33.43,,0,,1,7,,,,19 years 211 days
19,16,09/04/2019,Chennai Super Kings,MA Chidambaram Stadium,9,243,30.38,,0,,,7,,,,19 years 213 days
20,17,12/04/2019,Delhi Capitals,Eden Gardens,65,308,34.22,,0,,,7,,,,19 years 216 days
21,18,14/04/2019,Chennai Super Kings,Eden Gardens,15,323,32.30,,0,,,7,,,,19 years 218 days
22,19,19/04/2019,Royal Challengers Bengaluru,Eden Gardens,9,332,30.18,,0,,1,8,,,,19 years 223 days
23,20,21/04/2019,Sunrisers Hyderabad,Rajiv Gandhi International Stadium,3,335,27.92,,0,,,8,,,,19 years 225 days
24,21,25/04/2019,Rajasthan Royals,Eden Gardens,14,349,26.85,,0,,1,9,,,,19 years 229 days
25,22,28/04/2019,Mumbai Indians,Eden Gardens,76,425,30.36,,0,,,9,,,,19 years 232 days
26,23,03/05/2019,Punjab Kings,Punjab Cricket Association IS Bindra Stadium,65*,490,35.00,,0,,1,10,,,,19 years 237 days
27,24,05/05/2019,Mumbai Indians,Wankhede Stadium,9,499,33.27,,0,,,10,,,,19 years 239 days
28,25,23/09/2020,Mumbai Indians,Sheikh Zayed Stadium,7,506,31.63,,0,,,10,,,,21 years 15 days
29,26,26/09/2020,Sunrisers Hyderabad,Sheikh Zayed Stadium,70*,576,36.00,,0,,,10,,,,21 years 18 days
30,27,30/09/2020,Rajasthan Royals,Dubai International Cricket Stadium,47,623,36.65,,0,,1,11,,,,21 years 22 days
31,28,03/10/2020,Delhi Capitals,Sharjah Cricket Stadium,28,651,36.17,,0,,1,12,,,,21 years 25 days
32,29,07/10/2020,Chennai Super Kings,Sheikh Zayed Stadium,11,662,34.84,,0,,1,13,,,,21 years 29 days
