1,1,12/05/2022,Chennai Super Kings,Wankhede Stadium,0,0,0.00,,0,,,0,,,,21 years 271 days
2,2,17/05/2022,Sunrisers Hyderabad,Wankhede Stadium,2,2,1.00,,0,,,0,,,,21 years 276 days
3,3,08/04/2023,Chennai Super Kings,Wankhede Stadium,5,7,2.33,,0,,,0,,,,22 years 237 days
4,4,06/05/2023,Chennai Super Kings,MA Chidambaram Stadium,20,27,6.75,1/14,1,14.00,,0,,,,22 years 265 days
5,5,23/03/2024,Punjab Kings,Maharaja Yadavindra Singh International Cricket St,5,32,6.40,,1,14.00,,0,,,,23 years 222 days
6,6,28/03/2024,Rajasthan Royals,Sawai Mansingh Stadium,44*,76,15.20,,1,14.00,1,1,,,,23 years 227 days
7,7,31/03/2024,Chennai Super Kings,Dr YS Rajasekhara Reddy Cricket Stadium,0,76,12.67,,1,14.00,2,3,,,,23 years 230 days
8,8,03/04/2024,Kolkata Knight Riders,Dr YS Rajasekhara Reddy Cricket Stadium,54,130,18.57,,1,14.00,2,5,,,,23 years 233 days
9,9,07/04/2024,Mumbai Indians,Wankhede Stadium,71*,201,28.71,,1,14.00,,5,,,,23 years 237 days
10,10,12/04/2024,Lucknow Super Giants,BRSABV Ekana Cricket Stadium,15*,216,30.86,,1,14.00,,5,,,,23 years 242 days
11,,17/04/2024,Gujarat Titans,Narendra Modi Stadium,-,216,30.86,2/11,3,8.33,,5,,,,23 years 247 days
12,11,20/04/2024,Sunrisers Hyderabad,Arun Jaitley Stadium,10,226,28.25,,3,8.33,1,6,,,,23 years 250 days
13,12,24/04/2024,Gujarat Titans,Arun Jaitley Stadium,26*,252,31.50,,3,8.33,,6,,,,23 years 254 days
14,13,27/04/2024,Mumbai Indians,Arun Jaitley Stadium,48*,300,37.50,,3,8.33,,6,,,,23 years 257 days
15,14,29/04/2024,Kolkata Knight Riders,Eden Gardens,4,304,33.78,,3,8.33,,6,,,,23 years 259 days
16,15,07/05/2024,Rajasthan Royals,Arun Jaitley Stadium,41,345,34.50,,3,8.33,1,7,,,,23 years 267 days
17,16,12/05/2024,Royal Challengers Bengaluru,M Chinnaswamy Stadium,3,348,31.64,,3,8.33,,7,,,,23 years 272 days
18,17,14/05/2024,Lucknow Super Giants,Arun Jaitley Stadium,57*,405,36.82,1/4,4,7.25,,7,,,,23 years 274 days
19,18,24/03/2025,Lucknow Super Giants,Dr YS Rajasekhara Reddy Cricket Stadium,34,439,36.58,0/28,4,14.25,2,9,,,,24 years 222 days
20,19,30/03/2025,Sunrisers Hyderabad,Dr YS Rajasekhara Reddy Cricket Stadium,21*,460,38.33,,4,14.25,1,10,,,,24 years 228 days
21,20,05/04/2025,Chennai Super Kings,MA Chidambaram Stadium,24*,484,40.33,,4,14.25,1,11,,,,24 years 234 days
22,21,10/04/2025,Royal Challengers Bengaluru,M Chinnaswamy Stadium,38*,522,43.50,,4,14.25,,11,,,,24 years 239 days
23,22,13/04/2025,Mumbai Indians,Arun Jaitley Stadium,1,523,40.23,,4,14.25,1,12,,,,24 years 242 days
24,23,16/04/2025,Rajasthan Royals,Arun Jaitley Stadium,34*,557,42.85,0/12,4,17.25,,12,,,,24 years 245 days
25,24,19/04/2025,Gujarat Titans,Narendra Modi Stadium,31,588,42.00,,4,17.25,1,13,,,,24 years 248 days
26,,22/04/2025,Lucknow Super Giants,BRSABV Ekana Cricket Stadium,-,588,42.00,,4,17.25,1,14,,,,24 years 251 days
