1,,14/10/2020,Rajasthan Royals,Dubai International Cricket Stadium,-,0,,2/37,2,18.50,,0,,,,25 years 152 days
2,,17/10/2020,Chennai Super Kings,Sharjah Cricket Stadium,-,0,,1/39,3,25.33,,0,,,,25 years 155 days
3,,20/10/2020,Punjab Kings,Dubai International Cricket Stadium,-,0,,0/41,3,39.00,,0,,,,25 years 158 days
4,1,24/10/2020,Kolkata Knight Riders,Sheikh Zayed Stadium,1,1,1.00,0/40,3,52.33,1,1,,,,25 years 162 days
5,2,27/10/2020,Sunrisers Hyderabad,Dubai International Cricket Stadium,20*,21,21.00,0/35,3,64.00,,1,,,,25 years 165 days
6,,26/03/2022,Kolkata Knight Riders,Wankhede Stadium,-,21,21.00,0/23,3,71.67,1,2,,,,26 years 315 days
7,,31/03/2022,Lucknow Super Giants,Brabourne Stadium,-,21,21.00,1/40,4,63.75,,2,,,,26 years 320 days
8,,31/03/2023,Gujarat Titans,Narendra Modi Stadium,-,21,21.00,1/51,5,61.20,,2,,,,27 years 320 days
9,,03/04/2023,Lucknow Super Giants,MA Chidambaram Stadium,-,21,21.00,2/45,7,50.14,,2,,,,27 years 323 days
10,,08/04/2023,Mumbai Indians,Wankhede Stadium,-,21,21.00,2/31,9,42.44,,2,,,,27 years 328 days
11,,12/04/2023,Rajasthan Royals,MA Chidambaram Stadium,-,21,21.00,2/37,11,38.09,,2,,,,27 years 332 days
12,,17/04/2023,Royal Challengers Bengaluru,M Chinnaswamy Stadium,-,21,21.00,3/45,14,33.14,,2,,,,27 years 337 days
13,,21/04/2023,Sunrisers Hyderabad,MA Chidambaram Stadium,-,21,21.00,0/26,14,35.00,,2,,,,27 years 341 days
14,,23/04/2023,Kolkata Knight Riders,Eden Gardens,-,21,21.00,2/43,16,33.31,,2,,,,27 years 343 days
15,,27/04/2023,Rajasthan Royals,Sawai Mansingh Stadium,-,21,21.00,2/42,18,31.94,,2,,,,27 years 347 days
16,,30/04/2023,Punjab Kings,MA Chidambaram Stadium,-,21,21.00,3/49,21,29.71,,2,,,,27 years 350 days
17,,03/05/2023,Lucknow Super Giants,BRSABV Ekana Cricket Stadium,-,21,21.00,0/1,21,29.76,,2,,,,27 years 353 days
18,,06/05/2023,Mumbai Indians,MA Chidambaram Stadium,-,21,21.00,2/26,23,28.30,,2,,,,27 years 356 days
19,3,10/05/2023,Delhi Capitals,MA Chidambaram Stadium,0*,21,21.00,0/18,23,29.09,,2,,,,27 years 360 days
20,,14/05/2023,Kolkata Knight Riders,MA Chidambaram Stadium,-,21,21.00,0/25,23,30.17,1,3,,,,27 years 364 days
21,,20/05/2023,Delhi Capitals,Arun Jaitley Stadium,-,21,21.00,1/26,24,30.00,1,4,,,,28 years 5 days
22,,23/05/2023,Gujarat Titans,MA Chidambaram Stadium,-,21,21.00,1/43,25,30.52,,4,,,,28 years 8 days
23,,29/05/2023,Gujarat Titans,Narendra Modi Stadium,-,21,21.00,0/56,25,32.76,,4,,,,28 years 14 days
24,,22/03/2024,Royal Challengers Bengaluru,MA Chidambaram Stadium,-,21,21.00,0/47,25,34.64,,4,,,,28 years 312 days
25,,26/03/2024,Gujarat Titans,MA Chidambaram Stadium,-,21,21.00,2/21,27,32.85,1,5,,,,28 years 316 days
26,,31/03/2024,Delhi Capitals,Dr YS Rajasekhara Reddy Cricket Stadium,-,21,21.00,0/24,27,33.74,,5,,,,28 years 321 days
27,,05/04/2024,Sunrisers Hyderabad,Rajiv Gandhi International Stadium,-,21,21.00,0/20,27,34.48,,5,,,,28 years 326 days
28,,08/04/2024,Kolkata Knight Riders,MA Chidambaram Stadium,-,21,21.00,3/33,30,32.13,,5,,,,28 years 329 days
29,,14/04/2024,Mumbai Indians,Wankhede Stadium,-,21,21.00,1/29,31,32.03,,5,,,,28 years 335 days
30,,19/04/2024,Lucknow Super Giants,BRSABV Ekana Cricket Stadium,-,21,21.00,0/42,31,33.39,,5,,,,28 years 340 days
31,,23/04/2024,Lucknow Super Giants,MA Chidambaram Stadium,-,21,21.00,0/34,31,34.48,,5,,,,28 years 344 days
32,,28/04/2024,Sunrisers Hyderabad,MA Chidambaram Stadium,-,21,21.00,4/27,35,31.31,,5,,,,28 years 349 days
33,4,05/05/2024,Punjab Kings,Himachal Pradesh Cricket Association Stadium,0*,21,21.00,2/35,37,30.57,,5,,,,28 years 356 days
34,,10/05/2024,Gujarat Titans,Narendra Modi Stadium,-,21,21.00,2/33,39,29.85,,5,,,,28 years 361 days
35,,12/05/2024,Rajasthan Royals,MA Chidambaram Stadium,-,21,21.00,2/30,41,29.12,1,6,,,,28 years 363 days
