1,1,03/04/2022,Chennai Super Kings,Brabourne Stadium,1*,1,,2/21,2,10.50,,0,,,,24 years 110 days
2,2,08/04/2022,Gujarat Titans,Brabourne Stadium,2,3,3.00,0/34,2,27.50,,0,,,,24 years 115 days
3,,13/04/2022,Mumbai Indians,Maharashtra Cricket Association Stadium,-,3,3.00,1/43,3,32.67,1,1,,,,24 years 120 days
4,3,17/04/2022,Sunrisers Hyderabad,Dr DY Patil Sports Academy,0,3,1.50,0/35,3,44.33,,1,,,,24 years 124 days
5,4,20/04/2022,Delhi Capitals,Brabourne Stadium,2*,5,2.50,0/31,3,54.67,,1,,,,24 years 127 days
6,,26/04/2023,Royal Challengers Bengaluru,M Chinnaswamy Stadium,-,5,2.50,0/22,3,62.00,,1,,,,25 years 133 days
7,5,04/05/2023,Sunrisers Hyderabad,Rajiv Gandhi International Stadium,2*,7,3.50,2/32,5,43.60,1,2,,,,25 years 141 days
8,,08/05/2023,Punjab Kings,Eden Gardens,-,7,3.50,0/32,5,50.00,1,3,,,,25 years 145 days
9,,14/05/2023,Chennai Super Kings,MA Chidambaram Stadium,-,7,3.50,1/30,6,46.67,1,4,,,,25 years 151 days
10,6,20/05/2023,Lucknow Super Giants,Eden Gardens,1*,8,4.00,2/30,8,38.75,,4,,,,25 years 157 days
11,,03/04/2024,Delhi Capitals,Dr YS Rajasekhara Reddy Cricket Stadium,-,8,4.00,3/27,11,30.64,,4,,,,26 years 111 days
12,7,08/04/2024,Chennai Super Kings,MA Chidambaram Stadium,1*,9,4.50,2/28,13,28.08,,4,,,,26 years 116 days
13,,14/04/2024,Lucknow Super Giants,Eden Gardens,-,9,4.50,1/34,14,28.50,,4,,,,26 years 122 days
14,,16/04/2024,Rajasthan Royals,Eden Gardens,-,9,4.50,1/45,15,29.60,,4,,,,26 years 124 days
15,,29/04/2024,Delhi Capitals,Eden Gardens,-,9,4.50,2/29,17,27.82,,4,,,,26 years 137 days
16,8,03/05/2024,Mumbai Indians,Wankhede Stadium,0*,9,4.50,0/35,17,29.88,,4,,,,26 years 141 days
17,,05/05/2024,Lucknow Super Giants,BRSABV Ekana Cricket Stadium,-,9,4.50,0/21,17,31.12,,4,,,,26 years 143 days
18,,11/05/2024,Mumbai Indians,Eden Gardens,-,9,4.50,0/16,17,32.06,1,5,,,,26 years 149 days
19,,21/05/2024,Sunrisers Hyderabad,Narendra Modi Stadium,-,9,4.50,1/17,18,31.22,,5,,,,26 years 159 days
20,,26/05/2024,Sunrisers Hyderabad,MA Chidambaram Stadium,-,9,4.50,1/24,19,30.84,,5,,,,26 years 164 days
21,,22/03/2025,Royal Challengers Bengaluru,Eden Gardens,-,9,4.50,1/42,20,31.40,,5,,,,27 years 98 days
22,,26/03/2025,Rajasthan Royals,Barsapara Cricket Stadium,-,9,4.50,2/33,22,30.05,,5,,,,27 years 102 days
23,,03/04/2025,Sunrisers Hyderabad,Eden Gardens,-,9,4.50,3/29,25,27.60,,5,,,,27 years 110 days
24,,08/04/2025,Lucknow Super Giants,Eden Gardens,-,9,4.50,0/35,25,29.00,,5,,,,27 years 115 days
25,,11/04/2025,Chennai Super Kings,MA Chidambaram Stadium,-,9,4.50,1/31,26,29.08,2,7,,,,27 years 118 days
26,9,15/04/2025,Punjab Kings,Maharaja Yadavindra Singh International Cricket St,0,9,3.00,1/26,27,28.96,,7,,,,27 years 122 days
27,,21/04/2025,Gujarat Titans,Eden Gardens,-,9,3.00,1/44,28,29.50,,7,,,,27 years 128 days
