1,,27/03/2019,Kolkata Knight Riders,Eden Gardens,-,0,,1/35,1,35.00,,0,,,,27 years 210 days
2,,26/09/2020,Sunrisers Hyderabad,Sheikh Zayed Stadium,-,0,,1/25,2,30.00,1,1,,,,29 years 28 days
3,,30/09/2020,Rajasthan Royals,Dubai International Cricket Stadium,-,0,,2/25,4,21.25,1,2,,,,29 years 32 days
4,,03/10/2020,Delhi Capitals,Sharjah Cricket Stadium,-,0,,1/49,5,26.80,1,3,,,,29 years 35 days
5,1,07/10/2020,Chennai Super Kings,Sheikh Zayed Stadium,1,1,1.00,1/28,6,27.00,,3,,,,29 years 39 days
6,,10/10/2020,Punjab Kings,Sheikh Zayed Stadium,-,1,1.00,0/27,6,31.50,,3,,,,29 years 42 days
7,2,12/10/2020,Royal Challengers Bengaluru,Sharjah Cricket Stadium,7*,8,8.00,0/25,6,35.67,,3,,,,29 years 44 days
8,,16/10/2020,Mumbai Indians,Sheikh Zayed Stadium,-,8,8.00,1/23,7,33.86,,3,,,,29 years 48 days
9,,18/10/2020,Sunrisers Hyderabad,Sheikh Zayed Stadium,-,8,8.00,1/32,8,33.63,,3,,,,29 years 50 days
10,,21/10/2020,Royal Challengers Bengaluru,Sheikh Zayed Stadium,-,8,8.00,0/28,8,37.13,,3,,,,29 years 53 days
11,,24/10/2020,Delhi Capitals,Sheikh Zayed Stadium,-,8,8.00,5/20,13,24.38,,3,,,,29 years 56 days
12,3,26/10/2020,Punjab Kings,Sharjah Cricket Stadium,2,10,5.00,1/34,14,25.07,,3,,,,29 years 58 days
13,,29/10/2020,Chennai Super Kings,Dubai International Cricket Stadium,-,10,5.00,2/20,16,23.19,,3,,,,29 years 61 days
14,,01/11/2020,Rajasthan Royals,Dubai International Cricket Stadium,-,10,5.00,2/20,18,21.72,,3,,,,29 years 64 days
15,,11/04/2021,Sunrisers Hyderabad,MA Chidambaram Stadium,-,10,5.00,0/36,18,23.72,,3,,,,29 years 225 days
16,,13/04/2021,Mumbai Indians,MA Chidambaram Stadium,-,10,5.00,1/27,19,23.89,,3,,,,29 years 227 days
17,4,18/04/2021,Royal Challengers Bengaluru,MA Chidambaram Stadium,2*,12,6.00,2/39,21,23.48,,3,,,,29 years 232 days
18,5,21/04/2021,Chennai Super Kings,Wankhede Stadium,0,12,4.00,1/27,22,23.64,,3,,,,29 years 235 days
19,,24/04/2021,Rajasthan Royals,Wankhede Stadium,-,12,4.00,2/32,24,23.00,,3,,,,29 years 238 days
20,,26/04/2021,Punjab Kings,Narendra Modi Stadium,-,12,4.00,1/24,25,23.04,,3,,,,29 years 240 days
21,,29/04/2021,Delhi Capitals,Narendra Modi Stadium,-,12,4.00,0/34,25,24.40,,3,,,,29 years 243 days
22,,20/09/2021,Royal Challengers Bengaluru,Sheikh Zayed Stadium,-,12,4.00,3/13,28,22.25,1,4,,,,30 years 22 days
23,,23/09/2021,Mumbai Indians,Sheikh Zayed Stadium,-,12,4.00,0/22,28,23.04,,4,,,,30 years 25 days
24,,26/09/2021,Chennai Super Kings,Sheikh Zayed Stadium,-,12,4.00,1/22,29,23.00,,4,,,,30 years 28 days
25,,28/09/2021,Delhi Capitals,Sharjah Cricket Stadium,-,12,4.00,0/24,29,23.83,,4,,,,30 years 30 days
26,,01/10/2021,Punjab Kings,Dubai International Cricket Stadium,-,12,4.00,2/24,31,23.06,,4,,,,30 years 33 days
27,,03/10/2021,Sunrisers Hyderabad,Dubai International Cricket Stadium,-,12,4.00,2/26,33,22.45,,4,,,,30 years 35 days
28,,07/10/2021,Rajasthan Royals,Sharjah Cricket Stadium,-,12,4.00,1/14,34,22.21,,4,,,,30 years 39 days
29,,11/10/2021,Royal Challengers Bengaluru,Sharjah Cricket Stadium,-,12,4.00,0/20,34,22.79,,4,,,,30 years 43 days
30,,13/10/2021,Delhi Capitals,Sharjah Cricket Stadium,-,12,4.00,2/26,36,22.25,,4,,,,30 years 45 days
31,6,15/10/2021,Chennai Super Kings,Dubai International Cricket Stadium,0*,12,4.00,0/38,36,23.31,,4,,,,30 years 47 days
32,,26/03/2022,Chennai Super Kings,Wankhede Stadium,-,12,4.00,1/23,37,23.30,,4,,,,30 years 209 days
33,7,30/03/2022,Royal Challengers Bengaluru,Dr DY Patil Sports Academy,10*,22,7.33,1/33,38,23.55,,4,,,,30 years 213 days
34,,01/04/2022,Punjab Kings,Wankhede Stadium,-,22,7.33,0/14,38,23.92,,4,,,,30 years 215 days
35,,06/04/2022,Mumbai Indians,Maharashtra Cricket Association Stadium,-,22,7.33,1/32,39,24.13,,4,,,,30 years 220 days
36,8,10/04/2022,Delhi Capitals,Brabourne Stadium,1*,23,7.67,1/44,40,24.63,,4,,,,30 years 224 days
37,,15/04/2022,Sunrisers Hyderabad,Brabourne Stadium,-,23,7.67,0/45,40,25.75,,4,,,,30 years 229 days
38,9,18/04/2022,Rajasthan Royals,Brabourne Stadium,1*,24,8.00,0/30,40,26.50,1,5,,,,30 years 232 days
39,,23/04/2022,Gujarat Titans,Dr DY Patil Sports Academy,-,24,8.00,0/26,40,27.15,,5,,,,30 years 237 days
40,10,09/05/2022,Mumbai Indians,Dr DY Patil Sports Academy,0*,24,8.00,1/22,41,27.02,1,6,,,,30 years 253 days
41,,14/05/2022,Sunrisers Hyderabad,Maharashtra Cricket Association Stadium,-,24,8.00,1/25,42,26.98,,6,,,,30 years 258 days
42,,18/05/2022,Lucknow Super Giants,Dr DY Patil Sports Academy,-,24,8.00,0/38,42,27.88,,6,,,,30 years 262 days
43,,01/04/2023,Punjab Kings,Punjab Cricket Association IS Bindra Stadium,-,24,8.00,1/26,43,27.84,,6,,,,31 years 215 days
44,,06/04/2023,Royal Challengers Bengaluru,Eden Gardens,-,24,8.00,4/15,47,25.79,2,8,,,,31 years 220 days
45,,09/04/2023,Gujarat Titans,Narendra Modi Stadium,-,24,8.00,0/27,47,26.36,,8,,,,31 years 223 days
46,,14/04/2023,Sunrisers Hyderabad,Eden Gardens,-,24,8.00,1/41,48,26.67,1,9,,,,31 years 228 days
47,,16/04/2023,Mumbai Indians,Wankhede Stadium,-,24,8.00,1/38,49,26.90,,9,,,,31 years 230 days
48,11,20/04/2023,Delhi Capitals,Arun Jaitley Stadium,1,25,6.25,2/16,51,26.16,,9,,,,31 years 234 days
49,12,23/04/2023,Chennai Super Kings,Eden Gardens,0*,25,6.25,1/49,52,26.60,,9,,,,31 years 237 days
50,,26/04/2023,Royal Challengers Bengaluru,M Chinnaswamy Stadium,-,25,6.25,3/27,55,25.64,,9,,,,31 years 240 days
