1,1,20/09/2021,Kolkata Knight Riders,Sheikh Zayed Stadium,0,0,0.00,0/20,0,,,0,,,,24 years 53 days
2,2,24/09/2021,Chennai Super Kings,Sharjah Cricket Stadium,1*,1,1.00,0/40,0,,,0,,,,24 years 57 days
3,,27/03/2022,Punjab Kings,Dr DY Patil Sports Academy,-,1,1.00,1/40,1,100.00,,0,,,,24 years 241 days
4,3,30/03/2022,Kolkata Knight Riders,Dr DY Patil Sports Academy,4,5,2.50,4/20,5,24.00,,0,,,,24 years 244 days
5,,05/04/2022,Rajasthan Royals,Wankhede Stadium,-,5,2.50,1/32,6,25.33,1,1,,,,24 years 250 days
6,,09/04/2022,Mumbai Indians,Maharashtra Cricket Association Stadium,-,5,2.50,2/28,8,22.50,,1,,,,24 years 254 days
7,4,12/04/2022,Chennai Super Kings,Dr DY Patil Sports Academy,7,12,4.00,2/35,10,21.50,,1,,,,24 years 257 days
8,,16/04/2022,Delhi Capitals,Wankhede Stadium,-,12,4.00,1/40,11,23.18,,1,,,,24 years 261 days
9,,19/04/2022,Lucknow Super Giants,Dr DY Patil Sports Academy,-,12,4.00,0/20,11,25.00,,1,,,,24 years 264 days
10,5,23/04/2022,Sunrisers Hyderabad,Brabourne Stadium,8,20,5.00,0/7,11,25.64,,1,,,,24 years 268 days
11,6,26/04/2022,Rajasthan Royals,Maharashtra Cricket Association Stadium,18,38,7.60,2/23,13,23.46,,1,,,,24 years 271 days
12,,30/04/2022,Gujarat Titans,Brabourne Stadium,-,38,7.60,2/28,15,22.20,,1,,,,24 years 275 days
13,7,04/05/2022,Chennai Super Kings,Maharashtra Cricket Association Stadium,0,38,6.33,1/31,16,22.75,,1,,,,24 years 279 days
14,,08/05/2022,Sunrisers Hyderabad,Wankhede Stadium,-,38,6.33,5/18,21,18.19,,1,,,,24 years 283 days
15,8,13/05/2022,Punjab Kings,Brabourne Stadium,1,39,5.57,2/15,23,17.26,1,2,,,,24 years 288 days
16,,19/05/2022,Gujarat Titans,Wankhede Stadium,-,39,5.57,1/25,24,17.58,1,3,,,,24 years 294 days
17,,25/05/2022,Lucknow Super Giants,Eden Gardens,-,39,5.57,1/42,25,18.56,,3,,,,24 years 300 days
18,9,27/05/2022,Rajasthan Royals,Narendra Modi Stadium,0,39,4.88,1/26,26,18.85,,3,,,,24 years 302 days
19,,15/04/2023,Delhi Capitals,M Chinnaswamy Stadium,-,39,4.88,1/37,27,19.52,,3,,,,25 years 260 days
20,10,17/04/2023,Chennai Super Kings,M Chinnaswamy Stadium,2*,41,5.13,1/21,28,19.57,,3,,,,25 years 262 days
21,,20/04/2023,Punjab Kings,Punjab Cricket Association IS Bindra Stadium,-,41,5.13,2/39,30,19.57,,3,,,,25 years 265 days
22,11,23/04/2023,Rajasthan Royals,M Chinnaswamy Stadium,6,47,5.22,0/32,30,20.63,,3,,,,25 years 268 days
23,12,26/04/2023,Kolkata Knight Riders,M Chinnaswamy Stadium,5,52,5.20,2/24,32,20.09,,3,,,,25 years 271 days
24,13,01/05/2023,Lucknow Super Giants,BRSABV Ekana Cricket Stadium,8*,60,6.00,1/20,33,20.09,,3,,,,25 years 276 days
25,,06/05/2023,Delhi Capitals,Arun Jaitley Stadium,-,60,6.00,0/32,33,21.06,,3,,,,25 years 281 days
26,14,09/05/2023,Mumbai Indians,Wankhede Stadium,12*,72,7.20,2/53,35,21.37,,3,,,,25 years 284 days
27,15,26/03/2025,Kolkata Knight Riders,Barsapara Cricket Stadium,4,76,6.91,1/34,36,21.72,,3,,,,27 years 240 days
28,16,30/03/2025,Chennai Super Kings,Barsapara Cricket Stadium,4,80,6.67,4/35,40,20.43,,3,,,,27 years 244 days
29,,05/04/2025,Punjab Kings,Maharaja Yadavindra Singh International Cricket St,-,80,6.67,1/36,41,20.80,2,5,,,,27 years 250 days
30,,13/04/2025,Royal Challengers Bengaluru,Sawai Mansingh Stadium,-,80,6.67,0/33,41,21.61,,5,,,,27 years 258 days
31,,16/04/2025,Delhi Capitals,Arun Jaitley Stadium,-,80,6.67,1/38,42,22.00,,5,,,,27 years 261 days
32,,19/04/2025,Lucknow Super Giants,Sawai Mansingh Stadium,-,80,6.67,2/31,44,21.70,,5,,,,27 years 264 days
